;0;1;2;3
0;Id;EndInit;EndTests;SwapLines
1;1;21379;107927;-
2;1;-;-;21382 <-> 21478
3;1;-;-;23394 <-> 23549
4;1;-;-;25163 <-> 25375
5;1;-;-;26210 <-> 26285
6;1;-;-;27120 <-> 27184
7;1;-;-;28006 <-> 28055
8;1;-;-;29498 <-> 29579
9;1;-;-;30517 <-> 30728
10;1;-;-;31973 <-> 32044
11;1;-;-;33601 <-> 33685
12;1;-;-;35056 <-> 36247
13;1;-;-;37815 <-> 38360
14;1;-;-;40467 <-> 40563
15;1;-;-;42094 <-> 42173
16;1;-;-;43033 <-> 43115
17;1;-;-;44555 <-> 44624
18;1;-;-;45476 <-> 45536
19;1;-;-;46614 <-> 46670
20;1;-;-;48927 <-> 49003
21;1;-;-;56828 <-> 56916
22;1;-;-;57885 <-> 57993
23;1;-;-;58646 <-> 58757
24;1;-;-;59817 <-> 59905
25;1;-;-;60978 <-> 61026
26;1;-;-;63036 <-> 63525
27;1;-;-;65445 <-> 65731
28;1;-;-;66835 <-> 66925
29;1;-;-;68746 <-> 68992
30;1;-;-;70132 <-> 70241
31;1;-;-;71175 <-> 71255
32;1;-;-;73524 <-> 73576
33;1;-;-;74757 <-> 74842
34;1;-;-;75716 <-> 75796
35;1;-;-;76814 <-> 76910
36;1;-;-;77996 <-> 78127
37;1;-;-;79097 <-> 79145
38;1;-;-;80177 <-> 80238
39;1;-;-;85082 <-> 85141
40;1;-;-;86158 <-> 86399
41;1;-;-;87210 <-> 87277
42;1;-;-;88267 <-> 88347
43;1;-;-;89606 <-> 89731
44;1;-;-;91497 <-> 91565
45;1;-;-;92522 <-> 92705
46;1;-;-;93703 <-> 93773
47;1;-;-;95125 <-> 95202
48;1;-;-;96802 <-> 96857
49;1;-;-;98572 <-> 98730
50;1;-;-;99720 <-> 99828
51;1;-;-;101229 <-> 101333
52;1;-;-;102643 <-> 102850
53;1;-;-;104158 <-> 104235
54;1;-;-;105137 <-> 105314
55;1;-;-;106691 <-> 106744
56;2;5420;90332;-
57;2;-;-;5424 <-> 5620
58;2;-;-;7488 <-> 7679
59;2;-;-;9663 <-> 10163
60;2;-;-;11247 <-> 11299
61;2;-;-;12228 <-> 12374
62;2;-;-;14009 <-> 14201
63;2;-;-;15874 <-> 16006
64;2;-;-;17074 <-> 17204
65;2;-;-;18542 <-> 18640
66;2;-;-;19687 <-> 19791
67;2;-;-;21288 <-> 21360
68;2;-;-;22521 <-> 22604
69;2;-;-;24214 <-> 24260
70;2;-;-;25572 <-> 25716
71;2;-;-;26930 <-> 27049
72;2;-;-;28156 <-> 28495
73;2;-;-;29891 <-> 29968
74;2;-;-;31280 <-> 31373
75;2;-;-;39924 <-> 39970
76;2;-;-;40951 <-> 41022
77;2;-;-;42715 <-> 42794
78;2;-;-;44170 <-> 44251
79;2;-;-;45700 <-> 45789
80;2;-;-;46791 <-> 46850
81;2;-;-;48099 <-> 48175
82;2;-;-;49686 <-> 49765
83;2;-;-;51099 <-> 51172
84;2;-;-;52647 <-> 52729
85;2;-;-;53836 <-> 53884
86;2;-;-;55420 <-> 55495
87;2;-;-;56236 <-> 56352
88;2;-;-;57292 <-> 57372
89;2;-;-;58468 <-> 58541
90;2;-;-;59487 <-> 59601
91;2;-;-;61135 <-> 61213
92;2;-;-;62723 <-> 66516
93;2;-;-;67481 <-> 67558
94;2;-;-;68787 <-> 68835
95;2;-;-;70027 <-> 70082
96;2;-;-;71783 <-> 71831
97;2;-;-;73318 <-> 73371
98;2;-;-;74858 <-> 74940
99;2;-;-;75865 <-> 75939
100;2;-;-;77135 <-> 77182
101;2;-;-;78713 <-> 78764
102;2;-;-;80019 <-> 80094
103;2;-;-;81741 <-> 81824
104;2;-;-;83233 <-> 83279
105;2;-;-;84232 <-> 84285
106;2;-;-;85535 <-> 85612
107;2;-;-;87010 <-> 87090
108;2;-;-;88415 <-> 88462
109;2;-;-;89241 <-> 89290
