;Proband;NumLayers;Completed_Abs;Completed_Rel;Failed_Abs;Failed_Rel;Terminated_Abs;Terminated_Rel;Sum;Sum_Rel
0;1;6;26;0.5909090909090909;0;0.0;18;0.4090909090909091;44;1.0
1;1;9;31;0.6888888888888889;0;0.0;14;0.3111111111111111;45;1.0
2;1;12;29;0.6444444444444445;1;0.022222222222222223;15;0.3333333333333333;45;1.0
3;1;15;33;0.7333333333333333;2;0.044444444444444446;10;0.2222222222222222;45;0.9999999999999999
4;1;18;31;0.6888888888888889;1;0.022222222222222223;13;0.28888888888888886;45;1.0
5;1;21;27;0.6;3;0.06666666666666667;15;0.3333333333333333;45;1.0
6;2;6;39;0.8666666666666667;0;0.0;6;0.13333333333333333;45;1.0
7;2;9;41;0.9111111111111111;0;0.0;4;0.08888888888888889;45;1.0
8;2;12;40;0.8888888888888888;2;0.044444444444444446;3;0.06666666666666667;45;0.9999999999999999
9;2;15;34;0.7555555555555555;1;0.022222222222222223;10;0.2222222222222222;45;1.0
10;2;18;36;0.8;3;0.06666666666666667;6;0.13333333333333333;45;1.0
11;2;21;33;0.7333333333333333;3;0.06666666666666667;9;0.2;45;1.0
12;3;6;23;0.5111111111111111;2;0.044444444444444446;20;0.4444444444444444;45;0.9999999999999999
13;3;9;24;0.5333333333333333;2;0.044444444444444446;19;0.4222222222222222;45;1.0
14;3;12;22;0.4888888888888889;0;0.0;23;0.5111111111111111;45;1.0
15;3;15;27;0.6;2;0.044444444444444446;16;0.35555555555555557;45;1.0
16;3;18;23;0.5111111111111111;2;0.044444444444444446;20;0.4444444444444444;45;0.9999999999999999
17;3;21;22;0.4888888888888889;0;0.0;23;0.5111111111111111;45;1.0
18;4;6;24;0.5333333333333333;0;0.0;21;0.4666666666666667;45;1.0
19;4;9;27;0.6;0;0.0;18;0.4;45;1.0
20;4;12;18;0.4;0;0.0;27;0.6;45;1.0
21;4;15;15;0.3333333333333333;0;0.0;30;0.6666666666666666;45;1.0
22;4;18;12;0.26666666666666666;0;0.0;33;0.7333333333333333;45;1.0
23;4;21;15;0.3333333333333333;0;0.0;30;0.6666666666666666;45;1.0
24;5;6;37;0.8222222222222222;0;0.0;8;0.17777777777777778;45;1.0
25;5;9;34;0.7555555555555555;0;0.0;11;0.24444444444444444;45;1.0
26;5;12;39;0.8666666666666667;0;0.0;6;0.13333333333333333;45;1.0
27;5;15;30;0.6666666666666666;1;0.022222222222222223;14;0.3111111111111111;45;1.0
28;5;18;34;0.7555555555555555;0;0.0;11;0.24444444444444444;45;1.0
29;5;21;30;0.6666666666666666;0;0.0;15;0.3333333333333333;45;1.0
30;6;6;40;0.8888888888888888;0;0.0;5;0.1111111111111111;45;1.0
31;6;9;34;0.7555555555555555;0;0.0;11;0.24444444444444444;45;1.0
32;6;12;34;0.7555555555555555;0;0.0;11;0.24444444444444444;45;1.0
33;6;15;36;0.8;2;0.044444444444444446;7;0.15555555555555556;45;1.0
34;6;18;25;0.5555555555555556;1;0.022222222222222223;19;0.4222222222222222;45;1.0
35;6;21;29;0.6444444444444445;2;0.044444444444444446;14;0.3111111111111111;45;1.0
36;7;6;35;0.7777777777777778;0;0.0;10;0.2222222222222222;45;1.0
37;7;9;36;0.8;0;0.0;9;0.2;45;1.0
38;7;12;38;0.8444444444444444;0;0.0;7;0.15555555555555556;45;1.0
39;7;15;31;0.6888888888888889;1;0.022222222222222223;13;0.28888888888888886;45;1.0
40;7;18;35;0.7777777777777778;1;0.022222222222222223;9;0.2;45;1.0
41;7;21;27;0.6;3;0.06666666666666667;15;0.3333333333333333;45;1.0
42;8;6;32;0.7111111111111111;0;0.0;13;0.28888888888888886;45;1.0
43;8;9;32;0.7111111111111111;1;0.022222222222222223;12;0.26666666666666666;45;1.0
44;8;12;32;0.7111111111111111;0;0.0;13;0.28888888888888886;45;1.0
