;Proband;MappingMethod;NumLayers;Completed_Abs;Completed_Rel;Failed_Abs;Failed_Rel;Terminated_Abs;Terminated_Rel;Sum;Sum_Rel
0;0; densening;12;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
1;0; densening;15;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
2;0; densening;18;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
3;0; densening;21;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
4;0; densening;6;9;0.6;0;0.0;6;0.4;15;1.0
5;0; densening;9;11;0.7333333333333333;0;0.0;4;0.26666666666666666;15;1.0
6;0; direct;12;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
7;0; direct;15;9;0.6;1;0.06666666666666667;5;0.3333333333333333;15;1.0
8;0; direct;18;10;0.6666666666666666;1;0.06666666666666667;4;0.26666666666666666;15;1.0
9;0; direct;21;10;0.6666666666666666;1;0.06666666666666667;4;0.26666666666666666;15;1.0
10;0; direct;6;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
11;0; direct;9;12;0.8;0;0.0;3;0.2;15;1.0
12;0; widening;12;9;0.6;1;0.06666666666666667;5;0.3333333333333333;15;1.0
13;0; widening;15;10;0.6666666666666666;1;0.06666666666666667;4;0.26666666666666666;15;1.0
14;0; widening;18;11;0.7333333333333333;0;0.0;4;0.26666666666666666;15;1.0
15;0; widening;21;7;0.4666666666666667;2;0.13333333333333333;6;0.4;15;1.0
16;0; widening;6;8;0.5333333333333333;0;0.0;7;0.4666666666666667;15;1.0
17;0; widening;9;8;0.5333333333333333;0;0.0;7;0.4666666666666667;15;1.0
18;1; densening;12;15;1.0;0;0.0;0;0.0;15;1.0
19;1; densening;15;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
20;1; densening;18;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
