;Proband;Block;Task;Trial;MappingMethod;NumLayers;Target;Target_Relative;Result;Result_Numeric
0;0;1;1;0; direct;6;4;0.6666666666666666; COMPLETED;1
1;0;1;1;1; direct;6;5;0.8333333333333334; TERMINATED;0
2;0;1;1;2; direct;6;3;0.5; COMPLETED;1
3;0;1;1;3; direct;6;1;0.16666666666666666; TERMINATED;0
4;0;1;1;4; direct;6;2;0.3333333333333333; COMPLETED;1
5;0;1;2;0; direct;9;7;0.7777777777777778; COMPLETED;1
6;0;1;2;1; direct;9;8;0.8888888888888888; COMPLETED;1
7;0;1;2;2; direct;9;1;0.1111111111111111; TERMINATED;0
8;0;1;2;3; direct;9;5;0.5555555555555556; COMPLETED;1
9;0;1;2;4; direct;9;2;0.2222222222222222; TERMINATED;0
10;0;1;3;0; direct;9;1;0.1111111111111111; COMPLETED;1
11;0;1;3;1; direct;9;5;0.5555555555555556; COMPLETED;1
12;0;1;3;2; direct;9;2;0.2222222222222222; COMPLETED;1
13;0;1;3;3; direct;9;8;0.8888888888888888; TERMINATED;0
14;0;1;3;4; direct;9;7;0.7777777777777778; COMPLETED;1
15;0;1;4;0; direct;15;11;0.7333333333333333; COMPLETED;1
16;0;1;4;1; direct;15;4;0.26666666666666666; COMPLETED;1
17;0;1;4;2; direct;15;8;0.5333333333333333; TERMINATED;0
18;0;1;4;3; direct;15;14;0.9333333333333333; TERMINATED;0
19;0;1;4;4; direct;15;1;0.06666666666666667; TERMINATED;0
20;0;1;5;0; direct;12;11;0.9166666666666666; COMPLETED;1
21;0;1;5;1; direct;12;3;0.25; COMPLETED;1
22;0;1;5;2; direct;12;6;0.5; COMPLETED;1
23;0;1;5;3; direct;12;9;0.75; TERMINATED;0
24;0;1;5;4; direct;12;1;0.08333333333333333; TERMINATED;0
25;0;1;6;0; direct;9;8;0.8888888888888888; COMPLETED;1
26;0;1;6;1; direct;9;1;0.1111111111111111; COMPLETED;1
27;0;1;6;2; direct;9;5;0.5555555555555556; COMPLETED;1
28;0;1;6;3; direct;9;7;0.7777777777777778; COMPLETED;1
29;0;1;6;4; direct;9;2;0.2222222222222222; COMPLETED;1
30;0;1;7;0; direct;21;1;0.047619047619047616; TERMINATED;0
31;0;1;7;1; direct;21;16;0.7619047619047619; COMPLETED;1
32;0;1;7;2; direct;21;11;0.5238095238095238; TERMINATED;0
33;0;1;7;3; direct;21;20;0.9523809523809523; COMPLETED;1
34;0;1;7;4; direct;21;5;0.23809523809523808; COMPLETED;1
35;0;1;8;0; direct;18;1;0.05555555555555555; COMPLETED;1
36;0;1;8;1; direct;18;14;0.7777777777777778; TERMINATED;0
37;0;1;8;2; direct;18;9;0.5; COMPLETED;1
38;0;1;8;3; direct;18;5;0.2777777777777778; COMPLETED;1
39;0;1;8;4; direct;18;17;0.9444444444444444; COMPLETED;1
40;0;1;9;0; direct;21;5;0.23809523809523808; FAILED;0
41;0;1;9;1; direct;21;1;0.047619047619047616; TERMINATED;0
42;0;1;9;2; direct;21;11;0.5238095238095238; COMPLETED;1
43;0;1;9;3; direct;21;16;0.7619047619047619; COMPLETED;1
44;0;1;9;4; direct;21;20;0.9523809523809523; TERMINATED;0
45;0;1;10;0; direct;15;1;0.06666666666666667; FAILED;0
46;0;1;10;1; direct;15;4;0.26666666666666666; COMPLETED;1
47;0;1;10;2; direct;15;14;0.9333333333333333; COMPLETED;1
48;0;1;10;3; direct;15;11;0.7333333333333333; COMPLETED;1
49;0;1;10;4; direct;15;8;0.5333333333333333; COMPLETED;1
50;0;1;11;0; direct;18;9;0.5; COMPLETED;1
51;0;1;11;1; direct;18;5;0.2777777777777778; COMPLETED;1
52;0;1;11;2; direct;18;17;0.9444444444444444; TERMINATED;0
53;0;1;11;3; direct;18;1;0.05555555555555555; TERMINATED;0
54;0;1;11;4; direct;18;14;0.7777777777777778; COMPLETED;1
55;0;1;12;0; direct;15;1;0.06666666666666667; TERMINATED;0
56;0;1;12;1; direct;15;14;0.9333333333333333; COMPLETED;1
57;0;1;12;2; direct;15;8;0.5333333333333333; COMPLETED;1
58;0;1;12;3; direct;15;11;0.7333333333333333; TERMINATED;0
59;0;1;12;4; direct;15;4;0.26666666666666666; COMPLETED;1
60;0;1;13;0; direct;6;4;0.6666666666666666; TERMINATED;0
61;0;1;13;1; direct;6;2;0.3333333333333333; COMPLETED;1
62;0;1;13;2; direct;6;5;0.8333333333333334; TERMINATED;0
63;0;1;13;3; direct;6;1;0.16666666666666666; COMPLETED;1
64;0;1;13;4; direct;6;3;0.5; TERMINATED;0
65;0;1;14;0; direct;18;14;0.7777777777777778; COMPLETED;1
66;0;1;14;1; direct;18;5;0.2777777777777778; COMPLETED;1
67;0;1;14;2; direct;18;1;0.05555555555555555; FAILED;0
68;0;1;14;3; direct;18;9;0.5; TERMINATED;0
69;0;1;14;4; direct;18;17;0.9444444444444444; COMPLETED;1
70;0;1;15;0; direct;12;3;0.25; COMPLETED;1
71;0;1;15;1; direct;12;11;0.9166666666666666; COMPLETED;1
72;0;1;15;2; direct;12;1;0.08333333333333333; COMPLETED;1
73;0;1;15;3; direct;12;9;0.75; TERMINATED;0
74;0;1;15;4; direct;12;6;0.5; COMPLETED;1
75;0;1;16;0; direct;12;3;0.25; COMPLETED;1
76;0;1;16;1; direct;12;9;0.75; TERMINATED;0
77;0;1;16;2; direct;12;6;0.5; COMPLETED;1
78;0;1;16;3; direct;12;11;0.9166666666666666; TERMINATED;0
79;0;1;16;4; direct;12;1;0.08333333333333333; COMPLETED;1
80;0;1;17;0; direct;6;3;0.5; COMPLETED;1
81;0;1;17;1; direct;6;4;0.6666666666666666; COMPLETED;1
82;0;1;17;2; direct;6;2;0.3333333333333333; COMPLETED;1
83;0;1;17;3; direct;6;1;0.16666666666666666; COMPLETED;1
84;0;1;17;4; direct;6;5;0.8333333333333334; COMPLETED;1
85;0;1;18;0; direct;21;16;0.7619047619047619; COMPLETED;1
86;0;1;18;1; direct;21;5;0.23809523809523808; COMPLETED;1
87;0;1;18;2; direct;21;1;0.047619047619047616; COMPLETED;1
88;0;1;18;3; direct;21;11;0.5238095238095238; COMPLETED;1
89;0;1;18;4; direct;21;20;0.9523809523809523; COMPLETED;1
90;0;2;1;0; densening;12;3;0.25; COMPLETED;1
91;0;2;1;1; densening;12;1;0.08333333333333333; COMPLETED;1
92;0;2;1;2; densening;12;11;0.9166666666666666; COMPLETED;1
93;0;2;1;3; densening;12;6;0.5; COMPLETED;1
94;0;2;1;4; densening;12;9;0.75; COMPLETED;1
95;0;2;2;0; densening;9;2;0.2222222222222222; COMPLETED;1
96;0;2;2;1; densening;9;7;0.7777777777777778; COMPLETED;1
97;0;2;2;2; densening;9;8;0.8888888888888888; TERMINATED;0
98;0;2;2;3; densening;9;5;0.5555555555555556; TERMINATED;0
99;0;2;2;4; densening;9;1;0.1111111111111111; COMPLETED;1
100;0;2;3;0; densening;15;11;0.7333333333333333; COMPLETED;1
101;0;2;3;1; densening;15;1;0.06666666666666667; COMPLETED;1
102;0;2;3;2; densening;15;14;0.9333333333333333; COMPLETED;1
103;0;2;3;3; densening;15;4;0.26666666666666666; COMPLETED;1
104;0;2;3;4; densening;15;8;0.5333333333333333; COMPLETED;1
105;0;2;4;0; densening;21;11;0.5238095238095238; COMPLETED;1
106;0;2;4;1; densening;21;1;0.047619047619047616; COMPLETED;1
107;0;2;4;2; densening;21;20;0.9523809523809523; COMPLETED;1
108;0;2;4;3; densening;21;16;0.7619047619047619; COMPLETED;1
109;0;2;4;4; densening;21;5;0.23809523809523808; COMPLETED;1
110;0;2;5;0; densening;12;11;0.9166666666666666; TERMINATED;0
111;0;2;5;1; densening;12;6;0.5; TERMINATED;0
112;0;2;5;2; densening;12;3;0.25; COMPLETED;1
113;0;2;5;3; densening;12;9;0.75; COMPLETED;1
114;0;2;5;4; densening;12;1;0.08333333333333333; TERMINATED;0
115;0;2;6;0; densening;6;2;0.3333333333333333; COMPLETED;1
116;0;2;6;1; densening;6;5;0.8333333333333334; TERMINATED;0
117;0;2;6;2; densening;6;3;0.5; COMPLETED;1
118;0;2;6;3; densening;6;1;0.16666666666666666; TERMINATED;0
119;0;2;6;4; densening;6;4;0.6666666666666666; COMPLETED;1
120;0;2;7;0; densening;21;16;0.7619047619047619; TERMINATED;0
121;0;2;7;1; densening;21;20;0.9523809523809523; COMPLETED;1
122;0;2;7;2; densening;21;1;0.047619047619047616; COMPLETED;1
123;0;2;7;3; densening;21;11;0.5238095238095238; TERMINATED;0
124;0;2;7;4; densening;21;5;0.23809523809523808; TERMINATED;0
125;0;2;8;0; densening;18;5;0.2777777777777778; COMPLETED;1
126;0;2;8;1; densening;18;9;0.5; COMPLETED;1
127;0;2;8;2; densening;18;14;0.7777777777777778; COMPLETED;1
128;0;2;8;3; densening;18;17;0.9444444444444444; COMPLETED;1
129;0;2;8;4; densening;18;1;0.05555555555555555; COMPLETED;1
130;0;2;9;0; densening;6;2;0.3333333333333333; COMPLETED;1
131;0;2;9;1; densening;6;3;0.5; COMPLETED;1
132;0;2;9;2; densening;6;4;0.6666666666666666; TERMINATED;0
133;0;2;9;3; densening;6;1;0.16666666666666666; COMPLETED;1
134;0;2;9;4; densening;6;5;0.8333333333333334; TERMINATED;0
135;0;2;10;0; densening;15;1;0.06666666666666667; COMPLETED;1
136;0;2;10;1; densening;15;4;0.26666666666666666; COMPLETED;1
137;0;2;10;2; densening;15;14;0.9333333333333333; TERMINATED;0
138;0;2;10;3; densening;15;8;0.5333333333333333; COMPLETED;1
139;0;2;10;4; densening;15;11;0.7333333333333333; COMPLETED;1
140;0;2;11;0; densening;9;8;0.8888888888888888; COMPLETED;1
141;0;2;11;1; densening;9;7;0.7777777777777778; COMPLETED;1
142;0;2;11;2; densening;9;5;0.5555555555555556; COMPLETED;1
143;0;2;11;3; densening;9;1;0.1111111111111111; COMPLETED;1
144;0;2;11;4; densening;9;2;0.2222222222222222; COMPLETED;1
