;;;;;Result;Result;Result;Result;Result;Result_Numeric;Result_Numeric;Result_Numeric;Result_Numeric;Result_Numeric
Trial;;;;;0;1;2;3;4;0;1;2;3;4
Proband;Block;Task;MappingMethod;NumLayers;;;;;;;;;;
01;1;1; direct;6; COMPLETED; TERMINATED; COMPLETED; TERMINATED; COMPLETED;1;0;1;0;1
01;1;2; direct;9; COMPLETED; COMPLETED; TERMINATED; COMPLETED; TERMINATED;1;1;0;1;0
01;1;3; direct;9; COMPLETED; COMPLETED; COMPLETED; TERMINATED; COMPLETED;1;1;1;0;1
01;1;4; direct;15; COMPLETED; COMPLETED; TERMINATED; TERMINATED; TERMINATED;1;1;0;0;0
01;1;5; direct;12; COMPLETED; COMPLETED; COMPLETED; TERMINATED; TERMINATED;1;1;1;0;0
01;1;6; direct;9; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
01;1;7; direct;21; TERMINATED; COMPLETED; TERMINATED; COMPLETED; COMPLETED;0;1;0;1;1
01;1;8; direct;18; COMPLETED; TERMINATED; COMPLETED; COMPLETED; COMPLETED;1;0;1;1;1
01;1;9; direct;21; FAILED; TERMINATED; COMPLETED; COMPLETED; TERMINATED;0;0;1;1;0
01;1;10; direct;15; FAILED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;0;1;1;1;1
01;1;11; direct;18; COMPLETED; COMPLETED; TERMINATED; TERMINATED; COMPLETED;1;1;0;0;1
01;1;12; direct;15; TERMINATED; COMPLETED; COMPLETED; TERMINATED; COMPLETED;0;1;1;0;1
01;1;13; direct;6; TERMINATED; COMPLETED; TERMINATED; COMPLETED; TERMINATED;0;1;0;1;0
01;1;14; direct;18; COMPLETED; COMPLETED; FAILED; TERMINATED; COMPLETED;1;1;0;0;1
01;1;15; direct;12; COMPLETED; COMPLETED; COMPLETED; TERMINATED; COMPLETED;1;1;1;0;1
01;1;16; direct;12; COMPLETED; TERMINATED; COMPLETED; TERMINATED; COMPLETED;1;0;1;0;1
01;1;17; direct;6; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
01;1;18; direct;21; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
01;2;1; densening;12; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
01;2;2; densening;9; COMPLETED; COMPLETED; TERMINATED; TERMINATED; COMPLETED;1;1;0;0;1
01;2;3; densening;15; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
01;2;4; densening;21; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
01;2;5; densening;12; TERMINATED; TERMINATED; COMPLETED; COMPLETED; TERMINATED;0;0;1;1;0
01;2;6; densening;6; COMPLETED; TERMINATED; COMPLETED; TERMINATED; COMPLETED;1;0;1;0;1
01;2;7; densening;21; TERMINATED; COMPLETED; COMPLETED; TERMINATED; TERMINATED;0;1;1;0;0
01;2;8; densening;18; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
01;2;9; densening;6; COMPLETED; COMPLETED; TERMINATED; COMPLETED; TERMINATED;1;1;0;1;0
01;2;10; densening;15; COMPLETED; COMPLETED; TERMINATED; COMPLETED; COMPLETED;1;1;0;1;1
01;2;11; densening;9; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
01;2;12; densening;15; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
