Proband;Block;Task;MappingMethod;NumLayers;0;1;2;3;4;Duration_Sum
0;1;1; direct;6;12.221;4.414;7.155;3.627;5.516;32.933
0;1;2; direct;9;9.3;6.029;13.55;11.628;9.832;50.339000000000006
0;1;3; direct;9;11.357;7.849;6.402;4.394;8.062;38.064
0;1;4; direct;15;10.526;7.91;7.202;7.145;7.956;40.739000000000004
0;1;5; direct;12;9.006;8.612;8.256;5.049;4.624;35.547000000000004
0;1;6; direct;9;9.445;6.315;8.434;6.845;6.568;37.607
0;1;7; direct;21;12.669;7.948;6.722;13.702;7.631;48.672000000000004
0;1;8; direct;18;8.59;8.166;7.459;5.696;9.571;39.482
0;1;9; direct;21;8.982;5.58;8.794;9.885;59.043;92.28399999999999
0;1;10; direct;15;10.104;8.418;8.534;8.095;6.751;41.901999999999994
0;1;11; direct;18;9.028;6.003;7.651;7.27;8.081;38.033
0;1;12; direct;15;10.461;9.016;8.358;5.87;6.198;39.903
0;1;13; direct;6;6.993;6.075;4.953;5.39;3.063;26.474
0;1;14; direct;18;8.983;5.924;9.593;5.231;7.974;37.705
0;1;15; direct;12;7.853;22.207;6.314;5.756;7.487;49.617000000000004
0;1;16; direct;12;7.758;4.7;6.486;6.352;7.861;33.157
0;1;17; direct;6;11.28;4.869;6.035;5.586;6.541;34.31100000000001
0;1;18; direct;21;10.759;12.123;7.034;7.592;7.777;45.285
0;2;1; densening;12;195.938;6.038;8.894;8.365;7.669;226.90400000000002
0;2;2; densening;9;7.932;8.446;4.465;4.078;5.351;30.272
0;2;3; densening;15;11.037;5.385;9.89;7.696;6.212;40.22
0;2;4; densening;21;10.76;5.869;11.696;7.594;8.006;43.925
0;2;5; densening;12;9.455;5.553;6.749;7.621;4.713;34.091
0;2;6; densening;6;8.597;6.353;6.421;4.731;6.299;32.400999999999996
0;2;7; densening;21;11.104;8.33;7.839;9.518;4.548;41.339
0;2;8; densening;18;8.549;9.442;12.797;7.288;10.787;48.863
0;2;9; densening;6;10.645;6.604;3.822;5.422;4.49;30.982999999999997
0;2;10; densening;15;8.971;7.085;6.838;7.176;9.224;39.294
0;2;11; densening;9;11.347;5.169;6.054;5.168;5.747;33.485
0;2;12; densening;15;13.498;6.374;5.28;5.819;8.443;39.414
0;2;13; densening;21;5.807;9.699;9.345;7.335;8.583;40.769
0;2;14; densening;18;10.202;8.056;5.041;5.31;10.186;38.795
0;2;15; densening;12;45.092;6.954;4.321;5.178;7.74;69.285
0;2;16; densening;6;8.625;6.217;3.749;6.386;2.723;27.699999999999996
0;2;17; densening;18;7.604;6.525;8.009;5.747;7.769;35.654
0;2;18; densening;9;7.26;5.41;7.588;3.527;4.654;28.439
0;3;1; widening;6;82.77;5.462;4.413;3.459;4.476;100.58
0;3;2; widening;21;12.575;7.038;7.556;7.784;6.828;41.781000000000006
0;3;3; widening;9;7.286;4.406;3.762;5.447;6.039;26.939999999999998
0;3;4; widening;21;8.402;8.843;8.514;10.311;7.91;43.97999999999999
0;3;5; widening;12;6.657;6.182;8.897;5.731;6.906;34.373
0;3;6; widening;9;6.532;7.699;6.966;5.124;6.478;32.799
0;3;7; widening;12;7.786;8.21;4.366;6.611;8.222;35.195
0;3;8; widening;21;8.392;11.649;7.525;5.74;7.309;40.614999999999995
0;3;9; widening;12;8.064;9.225;5.351;6.023;5.973;34.636
0;3;10; widening;6;7.738;4.997;3.39;5.482;4.347;25.954
0;3;11; widening;15;7.561;8.275;5.072;5.669;7.805;34.382000000000005
0;3;12; widening;15;9.322;8.192;19.87;7.316;15.782;60.482
0;3;13; widening;18;9.17;9.734;7.205;8.776;6.431;41.316
0;3;14; widening;18;12.452;8.986;6.714;6.046;6.245;40.443
0;3;15; widening;6;5.451;4.602;3.05;7.054;5.917;26.074000000000005
0;3;16; widening;18;22.856;9.259;8.999;13.116;9.905;64.135
0;3;17; widening;15;10.893;9.302;4.794;5.545;7.479;38.013
0;3;18; widening;9;9.141;6.716;6.829;28.817;7.507;59.01
1;1;1; direct;9;16.599;7.734;8.832;13.831;6.306;53.30199999999999
1;1;2; direct;6;11.447;6.467;4.361;5.929;5.232;33.436
1;1;3; direct;9;13.484;12.049;6.687;7.999;7.366;47.585
1;1;4; direct;15;20.177;8.701;6.011;7.499;8.043;50.431000000000004
1;1;5; direct;6;9.341;6.409;5.268;7.917;4.74;33.675000000000004
1;1;6; direct;15;9.09;7.655;10.552;8.167;9.983;45.447
1;1;7; direct;12;10.631;11.324;6.402;10.079;6.928;45.364
1;1;8; direct;15;9.469;10.351;7.372;6.249;9.962;43.403000000000006
1;1;9; direct;21;21.031;8.875;10.198;10.456;7.086;57.646
1;1;10; direct;21;12.153;9.659;9.392;11.155;10.81;53.169000000000004
1;1;11; direct;9;12.05;5.903;7.228;10.516;7.679;43.376
1;1;12; direct;18;13.724;6.896;14.327;8.035;7.758;50.74
1;1;13; direct;12;9.758;9.345;8.521;7.162;7.271;42.057
1;1;14; direct;12;17.196;6.138;19.547;31.57;9.385;83.836
1;1;15; direct;21;16.58;9.468;10.763;11.038;14.228;62.077000000000005
1;1;16; direct;18;96.281;9.237;5.078;11.01;19.973;141.579
1;1;17; direct;18;10.044;8.146;8.473;8.317;10.491;45.471000000000004
1;1;18; direct;6;8.981;4.492;6.004;5.915;5.706;31.097999999999995
1;2;1; widening;6;766.909;4.659;3.352;4.937;6.059;785.9159999999999
1;2;2; widening;21;13.156;10.464;9.72;12.073;8.795;54.208000000000006
1;2;3; widening;15;21.424;4.975;8.288;8.169;9.96;52.815999999999995
1;2;4; widening;12;12.612;6.649;7.706;8.93;9.472;45.369
1;2;5; widening;12;11.846;7.807;50.466;7.507;8.123;85.74900000000001
1;2;6; widening;6;12.719;4.734;6.422;6.095;12.408;42.378
1;2;7; widening;18;14.592;13.269;7.421;12.74;7.666;55.688
