;Proband;MappingMethod;NumLayers;Completed_Sum;Completed_Avg;Completed_Num;Failed_Sum;Failed_Avg;Failed_Num;Terminated_Sum;Terminated_Avg;Terminated_Num;All_Sum;All_Avg;All_Num
0;1; densening;6;9.0;1.0;9.0;0.0;0.0;0.0;6.0;1.0;6.0;15.0;1.0;15.0
1;1; densening;9;11.0;1.0;11.0;0.0;0.0;0.0;4.0;1.0;4.0;15.0;1.0;15.0
2;1; densening;12;10.0;1.0;10.0;0.0;0.0;0.0;5.0;1.0;5.0;15.0;1.0;15.0
3;1; densening;15;14.0;1.0;14.0;0.0;0.0;0.0;1.0;1.0;1.0;15.0;1.0;15.0
4;1; densening;18;10.0;1.0;10.0;0.0;0.0;0.0;5.0;1.0;5.0;15.0;1.0;15.0
5;1; densening;21;10.0;1.0;10.0;0.0;0.0;0.0;5.0;1.0;5.0;15.0;1.0;15.0
6;1; direct;6;9.0;1.0;9.0;0.0;0.0;0.0;5.0;1.0;5.0;14.0;1.0;14.0
7;1; direct;9;12.0;1.0;12.0;0.0;0.0;0.0;3.0;1.0;3.0;15.0;1.0;15.0
8;1; direct;12;10.0;1.0;10.0;0.0;0.0;0.0;5.0;1.0;5.0;15.0;1.0;15.0
9;1; direct;15;9.0;1.0;9.0;1.0;1.0;1.0;5.0;1.0;5.0;15.0;1.0;15.0
10;1; direct;18;10.0;1.0;10.0;1.0;1.0;1.0;4.0;1.0;4.0;15.0;1.0;15.0
11;1; direct;21;10.0;1.0;10.0;1.0;1.0;1.0;4.0;1.0;4.0;15.0;1.0;15.0
12;1; widening;6;8.0;1.0;8.0;0.0;0.0;0.0;7.0;1.0;7.0;15.0;1.0;15.0
13;1; widening;9;8.0;1.0;8.0;0.0;0.0;0.0;7.0;1.0;7.0;15.0;1.0;15.0
14;1; widening;12;9.0;1.0;9.0;1.0;1.0;1.0;5.0;1.0;5.0;15.0;1.0;15.0
15;1; widening;15;10.0;1.0;10.0;1.0;1.0;1.0;4.0;1.0;4.0;15.0;1.0;15.0
16;1; widening;18;11.0;1.0;11.0;0.0;0.0;0.0;4.0;1.0;4.0;15.0;1.0;15.0
17;1; widening;21;7.0;1.0;7.0;2.0;1.0;2.0;6.0;1.0;6.0;15.0;1.0;15.0
18;2; densening;6;14.0;1.0;14.0;0.0;0.0;0.0;1.0;1.0;1.0;15.0;1.0;15.0
19;2; densening;9;15.0;1.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;1.0;15.0
20;2; densening;12;15.0;1.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;1.0;15.0
21;2; densening;15;13.0;1.0;13.0;0.0;0.0;0.0;2.0;1.0;2.0;15.0;1.0;15.0
22;2; densening;18;13.0;1.0;13.0;0.0;0.0;0.0;2.0;1.0;2.0;15.0;1.0;15.0
23;2; densening;21;13.0;1.0;13.0;0.0;0.0;0.0;2.0;1.0;2.0;15.0;1.0;15.0
24;2; direct;6;13.0;1.0;13.0;0.0;0.0;0.0;2.0;1.0;2.0;15.0;1.0;15.0
25;2; direct;9;13.0;1.0;13.0;0.0;0.0;0.0;2.0;1.0;2.0;15.0;1.0;15.0
26;2; direct;12;14.0;1.0;14.0;1.0;1.0;1.0;0.0;0.0;0.0;15.0;1.0;15.0
27;2; direct;15;14.0;1.0;14.0;0.0;0.0;0.0;1.0;1.0;1.0;15.0;1.0;15.0
28;2; direct;18;12.0;1.0;12.0;0.0;0.0;0.0;3.0;1.0;3.0;15.0;1.0;15.0
29;2; direct;21;10.0;1.0;10.0;1.0;1.0;1.0;4.0;1.0;4.0;15.0;1.0;15.0
30;2; widening;6;12.0;1.0;12.0;0.0;0.0;0.0;3.0;1.0;3.0;15.0;1.0;15.0
31;2; widening;9;13.0;1.0;13.0;0.0;0.0;0.0;2.0;1.0;2.0;15.0;1.0;15.0
32;2; widening;12;11.0;1.0;11.0;1.0;1.0;1.0;3.0;1.0;3.0;15.0;1.0;15.0
33;2; widening;15;7.0;1.0;7.0;1.0;1.0;1.0;7.0;1.0;7.0;15.0;1.0;15.0
34;2; widening;18;11.0;1.0;11.0;3.0;1.0;3.0;1.0;1.0;1.0;15.0;1.0;15.0
35;2; widening;21;10.0;1.0;10.0;2.0;1.0;2.0;3.0;1.0;3.0;15.0;1.0;15.0
36;3; densening;6;10.0;1.0;10.0;1.0;1.0;1.0;4.0;1.0;4.0;15.0;1.0;15.0
37;3; densening;9;11.0;1.0;11.0;0.0;0.0;0.0;4.0;1.0;4.0;15.0;1.0;15.0
38;3; densening;12;7.0;1.0;7.0;0.0;0.0;0.0;8.0;1.0;8.0;15.0;1.0;15.0
39;3; densening;15;12.0;1.0;12.0;0.0;0.0;0.0;3.0;1.0;3.0;15.0;1.0;15.0
40;3; densening;18;10.0;1.0;10.0;0.0;0.0;0.0;5.0;1.0;5.0;15.0;1.0;15.0
41;3; densening;21;6.0;1.0;6.0;0.0;0.0;0.0;9.0;1.0;9.0;15.0;1.0;15.0
42;3; direct;6;5.0;1.0;5.0;1.0;1.0;1.0;9.0;1.0;9.0;15.0;1.0;15.0
43;3; direct;9;5.0;1.0;5.0;1.0;1.0;1.0;9.0;1.0;9.0;15.0;1.0;15.0
44;3; direct;12;5.0;1.0;5.0;0.0;0.0;0.0;10.0;1.0;10.0;15.0;1.0;15.0
45;3; direct;15;6.0;1.0;6.0;0.0;0.0;0.0;9.0;1.0;9.0;15.0;1.0;15.0
46;3; direct;18;7.0;1.0;7.0;1.0;1.0;1.0;7.0;1.0;7.0;15.0;1.0;15.0
47;3; direct;21;6.0;1.0;6.0;0.0;0.0;0.0;9.0;1.0;9.0;15.0;1.0;15.0
48;3; widening;6;8.0;1.0;8.0;0.0;0.0;0.0;7.0;1.0;7.0;15.0;1.0;15.0
49;3; widening;9;8.0;1.0;8.0;1.0;1.0;1.0;6.0;1.0;6.0;15.0;1.0;15.0
50;3; widening;12;10.0;1.0;10.0;0.0;0.0;0.0;5.0;1.0;5.0;15.0;1.0;15.0
51;3; widening;15;9.0;1.0;9.0;2.0;1.0;2.0;4.0;1.0;4.0;15.0;1.0;15.0
52;3; widening;18;6.0;1.0;6.0;1.0;1.0;1.0;8.0;1.0;8.0;15.0;1.0;15.0
53;3; widening;21;10.0;1.0;10.0;0.0;0.0;0.0;5.0;1.0;5.0;15.0;1.0;15.0
54;4; densening;6;8.0;1.0;8.0;0.0;0.0;0.0;7.0;1.0;7.0;15.0;1.0;15.0
55;4; densening;9;11.0;1.0;11.0;0.0;0.0;0.0;4.0;1.0;4.0;15.0;1.0;15.0
56;4; densening;12;9.0;1.0;9.0;0.0;0.0;0.0;6.0;1.0;6.0;15.0;1.0;15.0
57;4; densening;15;7.0;1.0;7.0;0.0;0.0;0.0;8.0;1.0;8.0;15.0;1.0;15.0
58;4; densening;18;3.0;1.0;3.0;0.0;0.0;0.0;12.0;1.0;12.0;15.0;1.0;15.0
59;4; densening;21;6.0;1.0;6.0;0.0;0.0;0.0;9.0;1.0;9.0;15.0;1.0;15.0
60;4; direct;6;8.0;1.0;8.0;0.0;0.0;0.0;7.0;1.0;7.0;15.0;1.0;15.0
61;4; direct;9;8.0;1.0;8.0;0.0;0.0;0.0;7.0;1.0;7.0;15.0;1.0;15.0
62;4; direct;12;5.0;1.0;5.0;0.0;0.0;0.0;10.0;1.0;10.0;15.0;1.0;15.0
63;4; direct;15;5.0;1.0;5.0;0.0;0.0;0.0;10.0;1.0;10.0;15.0;1.0;15.0
64;4; direct;18;6.0;1.0;6.0;0.0;0.0;0.0;9.0;1.0;9.0;15.0;1.0;15.0
65;4; direct;21;5.0;1.0;5.0;0.0;0.0;0.0;10.0;1.0;10.0;15.0;1.0;15.0
66;4; widening;6;8.0;1.0;8.0;0.0;0.0;0.0;7.0;1.0;7.0;15.0;1.0;15.0
67;4; widening;9;8.0;1.0;8.0;0.0;0.0;0.0;7.0;1.0;7.0;15.0;1.0;15.0
68;4; widening;12;4.0;1.0;4.0;0.0;0.0;0.0;11.0;1.0;11.0;15.0;1.0;15.0
69;4; widening;15;3.0;1.0;3.0;0.0;0.0;0.0;12.0;1.0;12.0;15.0;1.0;15.0
70;4; widening;18;3.0;1.0;3.0;0.0;0.0;0.0;12.0;1.0;12.0;15.0;1.0;15.0
71;4; widening;21;4.0;1.0;4.0;0.0;0.0;0.0;11.0;1.0;11.0;15.0;1.0;15.0
72;5; densening;6;12.0;1.0;12.0;0.0;0.0;0.0;3.0;1.0;3.0;15.0;1.0;15.0
73;5; densening;9;13.0;1.0;13.0;0.0;0.0;0.0;2.0;1.0;2.0;15.0;1.0;15.0
74;5; densening;12;15.0;1.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;1.0;15.0
75;5; densening;15;10.0;1.0;10.0;0.0;0.0;0.0;5.0;1.0;5.0;15.0;1.0;15.0
76;5; densening;18;14.0;1.0;14.0;0.0;0.0;0.0;1.0;1.0;1.0;15.0;1.0;15.0
77;5; densening;21;12.0;1.0;12.0;0.0;0.0;0.0;3.0;1.0;3.0;15.0;1.0;15.0
78;5; direct;6;12.0;1.0;12.0;0.0;0.0;0.0;3.0;1.0;3.0;15.0;1.0;15.0
79;5; direct;9;12.0;1.0;12.0;0.0;0.0;0.0;3.0;1.0;3.0;15.0;1.0;15.0
80;5; direct;12;13.0;1.0;13.0;0.0;0.0;0.0;2.0;1.0;2.0;15.0;1.0;15.0
81;5; direct;15;10.0;1.0;10.0;0.0;0.0;0.0;5.0;1.0;5.0;15.0;1.0;15.0
82;5; direct;18;10.0;1.0;10.0;0.0;0.0;0.0;5.0;1.0;5.0;15.0;1.0;15.0
83;5; direct;21;9.0;1.0;9.0;0.0;0.0;0.0;6.0;1.0;6.0;15.0;1.0;15.0
84;5; widening;6;13.0;1.0;13.0;0.0;0.0;0.0;2.0;1.0;2.0;15.0;1.0;15.0
85;5; widening;9;9.0;1.0;9.0;0.0;0.0;0.0;6.0;1.0;6.0;15.0;1.0;15.0
86;5; widening;12;11.0;1.0;11.0;0.0;0.0;0.0;4.0;1.0;4.0;15.0;1.0;15.0
87;5; widening;15;10.0;1.0;10.0;1.0;1.0;1.0;4.0;1.0;4.0;15.0;1.0;15.0
88;5; widening;18;10.0;1.0;10.0;0.0;0.0;0.0;5.0;1.0;5.0;15.0;1.0;15.0
89;5; widening;21;9.0;1.0;9.0;0.0;0.0;0.0;6.0;1.0;6.0;15.0;1.0;15.0
90;6; densening;6;13.0;1.0;13.0;0.0;0.0;0.0;2.0;1.0;2.0;15.0;1.0;15.0
91;6; densening;9;14.0;1.0;14.0;0.0;0.0;0.0;1.0;1.0;1.0;15.0;1.0;15.0
92;6; densening;12;13.0;1.0;13.0;0.0;0.0;0.0;2.0;1.0;2.0;15.0;1.0;15.0
93;6; densening;15;15.0;1.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;1.0;15.0
94;6; densening;18;8.0;1.0;8.0;0.0;0.0;0.0;7.0;1.0;7.0;15.0;1.0;15.0
95;6; densening;21;9.0;1.0;9.0;0.0;0.0;0.0;6.0;1.0;6.0;15.0;1.0;15.0
96;6; direct;6;13.0;1.0;13.0;0.0;0.0;0.0;2.0;1.0;2.0;15.0;1.0;15.0
97;6; direct;9;10.0;1.0;10.0;0.0;0.0;0.0;5.0;1.0;5.0;15.0;1.0;15.0
98;6; direct;12;12.0;1.0;12.0;0.0;0.0;0.0;3.0;1.0;3.0;15.0;1.0;15.0
99;6; direct;15;10.0;1.0;10.0;0.0;0.0;0.0;5.0;1.0;5.0;15.0;1.0;15.0
100;6; direct;18;7.0;1.0;7.0;0.0;0.0;0.0;8.0;1.0;8.0;15.0;1.0;15.0
101;6; direct;21;12.0;1.0;12.0;0.0;0.0;0.0;3.0;1.0;3.0;15.0;1.0;15.0
102;6; widening;6;14.0;1.0;14.0;0.0;0.0;0.0;1.0;1.0;1.0;15.0;1.0;15.0
103;6; widening;9;10.0;1.0;10.0;0.0;0.0;0.0;5.0;1.0;5.0;15.0;1.0;15.0
104;6; widening;12;9.0;1.0;9.0;0.0;0.0;0.0;6.0;1.0;6.0;15.0;1.0;15.0
105;6; widening;15;11.0;1.0;11.0;2.0;1.0;2.0;2.0;1.0;2.0;15.0;1.0;15.0
106;6; widening;18;10.0;1.0;10.0;1.0;1.0;1.0;4.0;1.0;4.0;15.0;1.0;15.0
107;6; widening;21;8.0;1.0;8.0;2.0;1.0;2.0;5.0;1.0;5.0;15.0;1.0;15.0
108;7; densening;6;15.0;1.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;1.0;15.0
