NUM_LAYERS; MAPPING_METHOD; DEPTH_LAYER_ID; DEPTH_LAYER_BORDER
6; direct; 0 | 1 | 2 | 3 | 4 | 5 | 6; 0 | 0.0834 | 0.25 | 0.4167 | 0.5834 | 0.75 | 0.9167 | 1
6; densening; 0 | 1 | 2 | 3 | 4 | 5 | 6; 0 | 0.2116 | 0.4205 | 0.5786 | 0.714 | 0.8355 | 0.9471 | 1
6; widening; 0 | 1 | 2 | 3 | 4 | 5 | 6; 0 | 0.0159 | 0.0993 | 0.2325 | 0.4073 | 0.6192 | 0.8651 | 1
9; direct; 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9; 0 | 0.0556 | 0.1667 | 0.2778 | 0.3889 | 0.5 | 0.6112 | 0.7223 | 0.8334 | 0.9445 | 1
9; densening; 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9; 0 | 0.1643 | 0.3264 | 0.4491 | 0.5542 | 0.6485 | 0.7351 | 0.816 | 0.8924 | 0.965 | 1
9; widening; 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9; 0 | 0.0081 | 0.0505 | 0.1183 | 0.2072 | 0.315 | 0.4401 | 0.5814 | 0.738 | 0.9092 | 1
12; direct; 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12; 0 | 0.0417 | 0.125 | 0.2084 | 0.2917 | 0.375 | 0.4584 | 0.5417 | 0.625 | 0.7084 | 0.7917 | 0.875 | 0.9584 | 1
12; densening; 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12; 0 | 0.1373 | 0.2727 | 0.3752 | 0.463 | 0.5418 | 0.6141 | 0.6817 | 0.7455 | 0.8062 | 0.8642 | 0.92 | 0.9738 | 1
12; widening; 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12; 0 | 0.0051 | 0.0313 | 0.0733 | 0.1283 | 0.1951 | 0.2725 | 0.36 | 0.4569 | 0.5629 | 0.6775 | 0.8005 | 0.9316 | 1
15; direct; 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15; 0 | 0.0334 | 0.1 | 0.1667 | 0.2334 | 0.3 | 0.3667 | 0.4334 | 0.5 | 0.5667 | 0.6334 | 0.7 | 0.7667 | 0.8334 | 0.9 | 0.9667 | 1
