;Proband;Block;Task;Trial;Date_Hold;Date_Start;Date_Terminated;Duration;Num_Layers;MappingMethod;Target_Layer
314;1;1;1;1;2021-05-10T12:14:11.430Z;2021-05-10T12:14:07.072Z;2021-05-10T12:14:11.486Z;0.056;6; direct;5
616;1;1;1;3;2021-05-10T12:14:27.401Z;2021-05-10T12:14:23.822Z;2021-05-10T12:14:27.449Z;0.048;6; direct;1
1478;1;1;2;2;2021-05-10T12:15:09.323Z;2021-05-10T12:14:56.801Z;2021-05-10T12:15:10.351Z;1.028;9; direct;1
2047;1;1;2;4;2021-05-10T12:15:34.882Z;2021-05-10T12:15:25.129Z;2021-05-10T12:15:34.961Z;0.079;9; direct;2
2801;1;1;3;3;2021-05-10T12:16:12.161Z;2021-05-10T12:16:07.989Z;2021-05-10T12:16:12.383Z;0.222;9; direct;8
3638;1;1;4;2;2021-05-10T12:16:53.526Z;2021-05-10T12:16:46.742Z;2021-05-10T12:16:53.944Z;0.41800000000000004;15; direct;8
3829;1;1;4;3;2021-05-10T12:17:02.978Z;2021-05-10T12:16:55.928Z;2021-05-10T12:17:03.073Z;0.095;15; direct;14
4040;1;1;4;4;2021-05-10T12:17:12.725Z;2021-05-10T12:17:05.150Z;2021-05-10T12:17:13.106Z;0.381;15; direct;1
4796;1;1;5;3;2021-05-10T12:17:51.577Z;2021-05-10T12:17:46.536Z;2021-05-10T12:17:51.585Z;0.008;12; direct;9
4917;1;1;5;4;2021-05-10T12:17:58.124Z;2021-05-10T12:17:53.509Z;2021-05-10T12:17:58.133Z;0.009000000000000001;12; direct;1
6071;1;1;7;0;2021-05-10T12:18:58.257Z;2021-05-10T12:18:50.888Z;2021-05-10T12:18:59.442Z;1.185;21; direct;1
6456;1;1;7;2;2021-05-10T12:19:17.239Z;2021-05-10T12:19:10.856Z;2021-05-10T12:19:17.578Z;0.339;21; direct;11
7417;1;1;8;1;2021-05-10T12:20:02.468Z;2021-05-10T12:19:54.712Z;2021-05-10T12:20:02.878Z;0.41000000000000003;18; direct;14
8358;1;1;9;1;2021-05-10T12:20:50.722Z;2021-05-10T12:20:45.163Z;2021-05-10T12:20:50.743Z;0.021;21; direct;1
10386;1;1;9;4;2021-05-10T12:22:13.951Z;2021-05-10T12:21:15.578Z;2021-05-10T12:22:14.621Z;0.67;21; direct;20
11981;1;1;11;2;2021-05-10T12:23:33.992Z;2021-05-10T12:23:26.370Z;2021-05-10T12:23:34.021Z;0.029;18; direct;17
12173;1;1;11;3;2021-05-10T12:23:43.436Z;2021-05-10T12:23:36.201Z;2021-05-10T12:23:43.471Z;0.035;18; direct;1
12628;1;1;12;0;2021-05-10T12:24:05.780Z;2021-05-10T12:23:57.239Z;2021-05-10T12:24:05.899Z;0.11900000000000001;15; direct;1
13245;1;1;12;3;2021-05-10T12:24:33.901Z;2021-05-10T12:24:28.693Z;2021-05-10T12:24:34.563Z;0.662;15; direct;11
13517;1;1;13;0;2021-05-10T12:24:51.214Z;2021-05-10T12:24:47.556Z;2021-05-10T12:24:51.246Z;0.032;6; direct;4
13810;1;1;13;2;2021-05-10T12:25:05.399Z;2021-05-10T12:25:00.561Z;2021-05-10T12:25:05.514Z;0.115;6; direct;5
14042;1;1;13;4;2021-05-10T12:25:16.824Z;2021-05-10T12:25:13.860Z;2021-05-10T12:25:16.923Z;0.099;6; direct;3
14803;1;1;14;3;2021-05-10T12:25:52.610Z;2021-05-10T12:25:47.799Z;2021-05-10T12:25:53.030Z;0.42000000000000004;18; direct;9
16077;1;1;15;3;2021-05-10T12:26:52.230Z;2021-05-10T12:26:46.549Z;2021-05-10T12:26:52.305Z;0.07500000000000001;12; direct;9
16565;1;1;16;1;2021-05-10T12:27:17.249Z;2021-05-10T12:27:13.142Z;2021-05-10T12:27:17.842Z;0.5930000000000001;12; direct;9
16908;1;1;16;3;2021-05-10T12:27:34.094Z;2021-05-10T12:27:27.897Z;2021-05-10T12:27:34.249Z;0.155;12; direct;11
20593;1;2;2;2;2021-05-10T12:33:44.642Z;2021-05-10T12:33:40.180Z;2021-05-10T12:33:44.645Z;0.003;9; densening;8
20699;1;2;2;3;2021-05-10T12:33:50.392Z;2021-05-10T12:33:46.460Z;2021-05-10T12:33:50.538Z;0.14600000000000002;9; densening;5
23095;1;2;5;0;2021-05-10T12:35:47.132Z;2021-05-10T12:35:41.033Z;2021-05-10T12:35:47.206Z;0.07400000000000001;12; densening;11
23243;1;2;5;1;2021-05-10T12:35:54.445Z;2021-05-10T12:35:48.970Z;2021-05-10T12:35:54.523Z;0.078;12; densening;6
23759;1;2;5;4;2021-05-10T12:36:17.948Z;2021-05-10T12:36:13.610Z;2021-05-10T12:36:18.323Z;0.375;12; densening;1
24075;1;2;6;1;2021-05-10T12:36:35.879Z;2021-05-10T12:36:30.034Z;2021-05-10T12:36:36.387Z;0.508;6; densening;5
24376;1;2;6;3;2021-05-10T12:36:50.212Z;2021-05-10T12:36:45.950Z;2021-05-10T12:36:50.681Z;0.46900000000000003;6; densening;1
24751;1;2;7;0;2021-05-10T12:37:10.990Z;2021-05-10T12:37:03.283Z;2021-05-10T12:37:11.098Z;0.10800000000000001;21; densening;16
25443;1;2;7;3;2021-05-10T12:37:41.267Z;2021-05-10T12:37:31.813Z;2021-05-10T12:37:41.331Z;0.064;21; densening;11
25565;1;2;7;4;2021-05-10T12:37:47.555Z;2021-05-10T12:37:43.026Z;2021-05-10T12:37:47.574Z;0.019;21; densening;5
27297;1;2;9;2;2021-05-10T12:39:09.278Z;2021-05-10T12:39:05.776Z;2021-05-10T12:39:09.598Z;0.32;6; densening;4
27563;1;2;9;4;2021-05-10T12:39:21.832Z;2021-05-10T12:39:17.995Z;2021-05-10T12:39:22.485Z;0.653;6; densening;5
28126;1;2;10;2;2021-05-10T12:39:49.669Z;2021-05-10T12:39:42.974Z;2021-05-10T12:39:49.812Z;0.14300000000000002;15; densening;14
