;Peaks_Z;Peaks_Total;Result;HOLD_idx;Peaks_AfterHold;Peaks_AfterHold_Values;Peaks_BeforeHold;Peaks_BeforeHold_Values;Peaks_lower;Peaks_lower_Values;Peaks_deeper;Peaks_deeper_Values;Peaks_between;NumLayers;MappingMethod;TargetLayer
0;[ 0.        |-0.22894727];2; TERMINATED;[114];0;[];2;[14 51];2;[ 0.        |-0.22894727];1;[-0.22894727];-1;6; densening;1
0;[ 0.        |-0.50921047];2; COMPLETED;[101];0;[];2;[12 47];1;[0.];1;[-0.50921047];0;6; densening;1
0;[ 0.        |-0.55263156|-0.37894732];3; TERMINATED;[70];0;[];3;[13 46 50];2;[ 0.        |-0.37894732];2;[-0.55263156|-0.37894732];-1;6; densening;1
0;[0.];1; TERMINATED;[70];0;[];1;[18];1;[0.];0;[];0;6; densening;1
0;[ 0.       |-0.5644736];2; COMPLETED;[96];0;[];2;[15 46];1;[0.];1;[-0.5644736];0;6; densening;1
0;[ 0.       |-0.3907894|-0.3907894];3; COMPLETED;[128];0;[];3;[33  5 76];3;[ 0.       |-0.3907894|-0.3907894];2;[-0.3907894|-0.3907894];-2;6; densening;1
0;[ 0.        |-0.34736833|-0.38289463|-0.38289463];4; COMPLETED;[146];0;[];4;[55 91 25 81];4;[ 0.        |-0.34736833|-0.38289463|-0.38289463];3;[-0.34736833|-0.38289463|-0.38289463];-3;6; densening;1
0;[ 0.        |-0.24078934|-0.25263155];3; COMPLETED;[126];0;[];3;[19  9 72];3;[ 0.        |-0.24078934|-0.25263155];2;[-0.24078934|-0.25263155];-2;6; densening;1
0;[];0; TERMINATED;[94];0;[];0;[];0;[];0;[];0;6; densening;1
0;[0.];1; COMPLETED;[106];0;[];1;[26];1;[0.];0;[];0;6; densening;1
0;[ 0.        |-0.2960525 |-0.17368412|-0.03552625| 0.        ];5; COMPLETED;[163];0;[];5;[ 19 103  68  74  83];5;[ 0.        |-0.2960525 |-0.17368412|-0.03552625| 0.        ];1;[-0.2960525];-1;6; densening;1
0;[0.];1; COMPLETED;[80];0;[];1;[17];1;[0.];0;[];0;6; densening;1
0;[ 0.        |-0.50526303|-0.55263156|-0.5644736 |-0.49342093];5; COMPLETED;[128];0;[];5;[11 16 77  3 40];1;[0.];4;[-0.50526303|-0.55263156|-0.5644736 |-0.49342093];0;6; densening;1
0;[ 0.        |-0.6276315 |-0.5723683 |-0.41052622];4; COMPLETED;[164];0;[];4;[ 15  82  42 114];2;[ 0.        |-0.41052622];3;[-0.6276315 |-0.5723683 |-0.41052622];-1;6; densening;1
0;[ 0.       |-0.6157894];2; COMPLETED;[97];0;[];2;[16 43];1;[0.];1;[-0.6157894];0;6; densening;1
0;[ 0.        |-0.33552626|-0.33552626];3; COMPLETED;[110];0;[];3;[19 66 70];3;[ 0.        |-0.33552626|-0.33552626];2;[-0.33552626|-0.33552626];-2;6; densening;1
0;[0.];1; COMPLETED;[80];0;[];1;[63];1;[0.];0;[];0;6; densening;1
0;[0.];1; COMPLETED;[123];0;[];1;[39];1;[0.];0;[];0;6; densening;1
0;[ 0.        |-0.62368405];2; COMPLETED;[80];0;[];2;[20 66];1;[0.];1;[-0.62368405];0;6; densening;1
0;[0.];1; COMPLETED;[127];0;[];1;[82];1;[0.];0;[];0;6; densening;1
