;;;;;Result;Result;Result;Result;Result;Peaks_Total;Peaks_Total;Peaks_Total;Peaks_Total;Peaks_Total;Peaks_BeforeHold;Peaks_BeforeHold;Peaks_BeforeHold;Peaks_BeforeHold;Peaks_BeforeHold;Peaks_AfterHold;Peaks_AfterHold;Peaks_AfterHold;Peaks_AfterHold;Peaks_AfterHold;Peaks_lower;Peaks_lower;Peaks_lower;Peaks_lower;Peaks_lower;Peaks_deeper;Peaks_deeper;Peaks_deeper;Peaks_deeper;Peaks_deeper;Peaks_between;Peaks_between;Peaks_between;Peaks_between;Peaks_between;TargetLayer;TargetLayer;TargetLayer;TargetLayer;TargetLayer;rate_before;rate_after;rate_lower;rate_deeper;rate_between;rate_sum
Trial;;;;;0;1;2;3;4;0;1;2;3;4;0;1;2;3;4;0;1;2;3;4;0;1;2;3;4;0;1;2;3;4;0;1;2;3;4;0;1;2;3;4;;;;;;
Proband;Block;Task;MappingMethod;NumLayers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1; direct;6; COMPLETED; TERMINATED; COMPLETED; TERMINATED; COMPLETED;0;1;2;2;1;0;1;2;2;1;0;0;0;0;0;0;1;1;1;1;0;0;0;1;0;0;0;1;0;0;4;5;3;1;2;1.2;0.0;0.8;0.2;0.2;1.2
1;1;2; direct;9; COMPLETED; COMPLETED; TERMINATED; COMPLETED; TERMINATED;0;1;12;5;10;0;1;12;5;10;0;0;0;0;0;0;1;6;5;8;0;0;5;0;1;0;0;1;0;1;7;8;1;5;2;5.6;0.0;4.0;1.2;0.4;5.6
1;1;3; direct;9; COMPLETED; COMPLETED; COMPLETED; TERMINATED; COMPLETED;3;1;1;1;1;3;1;1;1;1;0;0;0;0;0;3;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;5;2;8;7;1.4;0.0;1.4;0.0;0.0;1.4
1;1;4; direct;15; COMPLETED; COMPLETED; TERMINATED; TERMINATED; TERMINATED;0;3;2;1;3;0;3;2;1;3;0;0;0;0;0;0;1;2;1;1;0;2;0;0;2;0;0;0;0;0;11;4;8;14;1;1.8;0.0;1.0;0.8;0.0;1.8
1;1;5; direct;12; COMPLETED; COMPLETED; COMPLETED; TERMINATED; TERMINATED;0;3;7;1;1;0;3;7;1;1;0;0;0;0;0;0;3;7;1;1;0;0;0;0;0;0;0;0;0;0;11;3;6;9;1;2.4;0.0;2.4;0.0;0.0;2.4
1;1;6; direct;9; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;0;2;2;2;2;0;2;2;2;2;0;0;0;0;0;0;1;2;2;1;0;1;0;0;1;0;0;0;0;0;8;1;5;7;2;1.6;0.0;1.2;0.4;0.0;1.6
1;1;7; direct;21; TERMINATED; COMPLETED; TERMINATED; COMPLETED; COMPLETED;0;2;3;3;3;0;2;3;3;3;0;0;0;0;0;0;2;3;3;1;0;0;0;0;2;0;0;0;0;0;1;16;11;20;5;2.2;0.0;1.8;0.4;0.0;2.2
1;1;8; direct;18; COMPLETED; TERMINATED; COMPLETED; COMPLETED; COMPLETED;2;3;3;2;1;1;3;3;2;1;1;0;0;0;0;2;3;3;1;1;0;0;0;1;0;0;0;0;0;0;1;14;9;5;17;2.0;0.2;2.0;0.2;0.0;2.2
1;1;9; direct;21; FAILED; TERMINATED; COMPLETED; COMPLETED; TERMINATED;0;1;2;2;3;0;1;2;2;3;0;0;0;0;0;0;1;2;2;3;0;0;0;0;0;0;0;0;0;0;5;1;11;16;20;1.6;0.0;1.6;0.0;0.0;1.6
1;1;10; direct;15; FAILED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;0;3;1;3;2;0;3;1;3;2;0;0;0;0;0;0;3;1;3;1;0;0;0;0;0;0;0;0;0;1;1;4;14;11;8;1.8;0.0;1.6;0.0;0.2;1.8
1;1;11; direct;18; COMPLETED; COMPLETED; TERMINATED; TERMINATED; COMPLETED;2;2;1;1;2;1;2;1;1;2;1;0;0;0;0;2;2;1;1;2;0;0;0;0;0;0;0;0;0;0;9;5;17;1;14;1.4;0.2;1.6;0.0;0.0;1.5999999999999999
1;1;12; direct;15; TERMINATED; COMPLETED; COMPLETED; TERMINATED; COMPLETED;0;3;2;1;2;0;3;2;1;2;0;0;0;0;0;0;3;2;1;1;0;0;0;0;1;0;0;0;0;0;1;14;8;11;4;1.6;0.0;1.4;0.2;0.0;1.6
1;1;13; direct;6; TERMINATED; COMPLETED; TERMINATED; COMPLETED; TERMINATED;0;2;1;2;1;0;2;1;2;1;0;0;0;0;0;0;2;1;1;1;0;0;0;0;0;0;0;0;1;0;4;2;5;1;3;1.2;0.0;1.0;0.0;0.2;1.2
1;1;14; direct;18; COMPLETED; COMPLETED; FAILED; TERMINATED; COMPLETED;3;1;2;2;1;3;1;2;2;1;0;0;0;0;0;3;1;2;2;1;0;0;0;0;0;0;0;0;0;0;14;5;1;9;17;1.8;0.0;1.8;0.0;0.0;1.8
1;1;15; direct;12; COMPLETED; COMPLETED; COMPLETED; TERMINATED; COMPLETED;1;3;2;2;4;1;3;2;2;4;0;0;0;0;0;1;3;1;2;4;0;0;1;0;0;0;0;0;0;0;3;11;1;9;6;2.4;0.0;2.2;0.2;0.0;2.4
1;1;16; direct;12; COMPLETED; TERMINATED; COMPLETED; TERMINATED; COMPLETED;1;1;2;1;2;1;1;2;1;2;0;0;0;0;0;1;1;2;1;1;0;0;0;0;1;0;0;0;0;0;3;9;6;11;1;1.4;0.0;1.2;0.2;0.0;1.4
1;1;17; direct;6; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;2;1;2;2;1;2;1;2;2;1;0;0;0;0;0;2;1;1;1;1;0;0;1;1;0;0;0;0;0;0;3;4;2;1;5;1.6;0.0;1.2;0.4;0.0;1.6
1;1;18; direct;21; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;5;1;1;1;1;5;1;1;1;0;0;0;0;0;1;3;1;1;1;0;2;0;0;0;0;0;0;0;0;16;5;1;11;20;1.8;0.0;1.4;0.4;0.0;1.8
1;2;1; densening;12; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;3;2;0;2;2;3;2;0;2;2;0;0;0;0;0;3;1;0;2;2;0;1;0;0;0;0;0;0;0;0;3;1;11;6;9;1.8;0.0;1.6;0.2;0.0;1.8
1;2;2; densening;9; COMPLETED; COMPLETED; TERMINATED; TERMINATED; COMPLETED;1;2;1;2;2;1;2;1;2;2;0;0;0;0;0;1;2;1;2;1;0;0;0;0;0;0;0;0;0;1;2;7;8;5;1;1.6;0.0;1.4;0.0;0.2;1.6
1;2;3; densening;15; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;2;1;4;2;1;2;1;4;2;0;0;0;0;0;1;1;1;4;2;0;1;0;0;0;0;0;0;0;0;11;1;14;4;8;2.0;0.0;1.8;0.2;0.0;2.0
1;2;4; densening;21; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;2;1;2;2;1;2;1;2;2;0;0;0;0;0;1;1;1;2;1;0;1;0;0;0;0;0;0;0;1;11;1;20;16;5;1.6;0.0;1.2;0.2;0.2;1.6
1;2;5; densening;12; TERMINATED; TERMINATED; COMPLETED; COMPLETED; TERMINATED;0;4;2;2;2;0;4;2;2;2;0;0;0;0;0;0;4;1;2;1;0;0;0;0;1;0;0;1;0;0;11;6;3;9;1;2.0;0.0;1.6;0.2;0.2;2.0
1;2;6; densening;6; COMPLETED; TERMINATED; COMPLETED; TERMINATED; COMPLETED;0;1;2;2;1;0;1;2;2;1;0;0;0;0;0;0;1;2;1;1;0;0;0;0;0;0;0;0;1;0;2;5;3;1;4;1.2;0.0;1.0;0.0;0.2;1.2
1;2;7; densening;21; TERMINATED; COMPLETED; COMPLETED; TERMINATED; TERMINATED;1;1;4;4;2;1;1;4;4;2;0;0;0;0;0;1;1;1;4;2;0;0;3;0;0;0;0;0;0;0;16;20;1;11;5;2.4;0.0;1.8;0.6;0.0;2.4
1;2;8; densening;18; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;2;3;1;5;1;2;3;1;5;0;0;0;0;0;1;2;3;1;1;0;0;0;0;4;0;0;0;0;0;5;9;14;17;1;2.4;0.0;1.6;0.8;0.0;2.4
1;2;9; densening;6; COMPLETED; COMPLETED; TERMINATED; COMPLETED; TERMINATED;1;1;1;2;1;1;1;1;2;1;0;0;0;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;2;3;4;1;5;1.2;0.0;1.0;0.2;0.0;1.2
1;2;10; densening;15; COMPLETED; COMPLETED; TERMINATED; COMPLETED; COMPLETED;2;4;1;2;2;2;4;1;2;2;0;0;0;0;0;2;4;1;2;2;0;0;0;0;0;0;0;0;0;0;1;4;14;8;11;2.2;0.0;2.2;0.0;0.0;2.2
1;2;11; densening;9; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;0;1;2;2;2;0;1;2;2;2;0;0;0;0;0;0;1;2;1;1;0;0;0;1;1;0;0;0;0;0;8;7;5;1;2;1.4;0.0;1.0;0.4;0.0;1.4
1;2;12; densening;15; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;0;1;2;3;2;0;1;2;3;2;0;0;0;0;0;0;1;2;1;2;0;0;0;2;0;0;0;0;0;0;14;11;4;1;8;1.6;0.0;1.2;0.4;0.0;1.6
1;2;13; densening;21; TERMINATED; TERMINATED; COMPLETED; COMPLETED; COMPLETED;1;2;3;2;1;1;2;3;2;1;0;0;0;0;0;1;2;3;1;1;0;0;0;1;0;0;0;0;0;0;1;20;11;5;16;1.8;0.0;1.6;0.2;0.0;1.8
1;2;14; densening;18; COMPLETED; TERMINATED; COMPLETED; TERMINATED; COMPLETED;1;1;2;2;3;1;1;2;2;3;0;0;0;0;0;1;1;1;2;3;0;0;1;0;0;0;0;0;0;0;9;17;1;5;14;1.8;0.0;1.6;0.2;0.0;1.8
1;2;15; densening;12; COMPLETED; COMPLETED; TERMINATED; COMPLETED; TERMINATED;1;2;2;2;1;1;2;2;2;1;0;0;0;0;0;1;2;1;1;1;0;0;1;1;0;0;0;0;0;0;9;6;3;1;11;1.6;0.0;1.2;0.4;0.0;1.6
1;2;16; densening;6; COMPLETED; COMPLETED; TERMINATED; COMPLETED; TERMINATED;2;1;2;2;3;2;1;2;2;3;0;0;0;0;0;2;1;2;2;1;0;0;0;0;1;0;0;0;0;1;4;5;3;2;1;2.0;0.0;1.6;0.2;0.2;2.0
1;2;17; densening;18; TERMINATED; COMPLETED; TERMINATED; TERMINATED; COMPLETED;1;1;2;2;2;1;1;2;2;2;0;0;0;0;0;1;1;2;2;2;0;0;0;0;0;0;0;0;0;0;5;1;17;14;9;1.6;0.0;1.6;0.0;0.0;1.6
1;2;18; densening;9; COMPLETED; COMPLETED; COMPLETED; TERMINATED; TERMINATED;1;1;2;3;1;1;1;2;3;1;0;0;0;0;0;1;1;2;3;1;0;0;0;0;0;0;0;0;0;0;1;2;7;5;8;1.6;0.0;1.6;0.0;0.0;1.6
1;3;1; widening;6; COMPLETED; TERMINATED; TERMINATED; TERMINATED; TERMINATED;18;6;3;1;2;18;6;3;1;2;0;0;0;0;0;18;3;3;1;1;0;2;0;0;0;0;1;0;0;1;4;2;5;1;3;6.0;0.0;5.2;0.4;0.4;6.0
1;3;2; widening;21; COMPLETED; TERMINATED; COMPLETED; COMPLETED; TERMINATED;3;1;1;2;0;3;1;1;2;0;0;0;0;0;0;3;1;1;2;0;0;0;0;0;0;0;0;0;0;0;11;1;20;16;5;1.4;0.0;1.4;0.0;0.0;1.4
1;3;3; widening;9; COMPLETED; COMPLETED; TERMINATED; TERMINATED; TERMINATED;0;1;2;1;1;0;1;2;1;1;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;8;7;5;2;1;1.0;0.0;0.8;0.2;0.0;1.0
1;3;4; widening;21; TERMINATED; TERMINATED; COMPLETED; FAILED; COMPLETED;0;5;1;3;2;0;5;1;3;2;0;0;0;0;0;0;4;1;1;2;0;1;0;2;0;0;0;0;0;0;5;11;20;1;16;2.2;0.0;1.6;0.6;0.0;2.2
1;3;5; widening;12; TERMINATED; COMPLETED; FAILED; COMPLETED; COMPLETED;0;2;3;0;2;0;2;3;0;2;0;0;0;0;0;0;2;1;0;1;0;0;2;0;1;0;0;0;0;0;3;9;1;11;6;1.4;0.0;0.8;0.6;0.0;1.4
