;Proband;Block;Task;Trial;NumLayers;MappingMethod;TargetLayer;Result;Peaks_Total;Peaks_BeforeHold;Peaks_AfterHold;Peaks_lower;Peaks_deeper;Peaks_between
0;1;2;6;3;6; densening;1; TERMINATED;2;2;0;1;0;1
1;1;2;9;3;6; densening;1; COMPLETED;2;2;0;1;1;0
2;1;2;16;4;6; densening;1; TERMINATED;3;3;0;1;1;1
3;2;3;4;4;6; densening;1; TERMINATED;1;1;0;1;0;0
4;2;3;7;4;6; densening;1; COMPLETED;2;2;0;1;1;0
5;2;3;11;2;6; densening;1; COMPLETED;3;3;0;1;0;2
6;3;2;10;1;6; densening;1; COMPLETED;4;4;0;1;0;3
7;3;2;11;4;6; densening;1; COMPLETED;3;3;0;1;0;2
8;3;2;16;2;6; densening;1; TERMINATED;0;0;0;0;0;0
9;4;1;11;2;6; densening;1; COMPLETED;1;1;0;1;0;0
10;4;1;16;2;6; densening;1; COMPLETED;5;5;0;4;0;1
11;4;1;17;2;6; densening;1; COMPLETED;1;1;0;1;0;0
12;5;1;6;3;6; densening;1; COMPLETED;5;5;0;1;4;0
13;5;1;11;4;6; densening;1; COMPLETED;4;4;0;1;2;1
14;5;1;12;2;6; densening;1; COMPLETED;2;2;0;1;1;0
15;6;1;9;4;6; densening;1; COMPLETED;3;3;0;1;0;2
16;6;1;10;0;6; densening;1; COMPLETED;1;1;0;1;0;0
17;6;1;11;1;6; densening;1; COMPLETED;1;1;0;1;0;0
18;7;3;8;3;6; densening;1; COMPLETED;2;2;0;1;1;0
19;7;3;14;0;6; densening;1; COMPLETED;1;1;0;1;0;0
20;7;3;15;3;6; densening;1; COMPLETED;5;5;0;1;3;1
21;8;1;9;4;6; densening;1; COMPLETED;2;2;0;1;1;0
22;8;1;11;2;6; densening;1; COMPLETED;3;3;0;1;0;2
23;8;1;15;3;6; densening;1; COMPLETED;2;2;0;1;0;1
24;9;2;3;2;6; densening;1; COMPLETED;2;2;0;1;0;1
25;9;2;9;2;6; densening;1; COMPLETED;2;2;0;1;0;1
26;9;2;14;3;6; densening;1; COMPLETED;2;2;0;2;0;0
27;10;1;4;4;6; densening;1; COMPLETED;1;1;0;1;0;0
28;10;1;7;4;6; densening;1; COMPLETED;2;2;0;1;1;0
29;10;1;16;1;6; densening;1; TERMINATED;12;12;0;6;2;4
30;11;2;5;3;6; densening;1; COMPLETED;6;6;0;6;0;0
31;11;2;7;4;6; densening;1; COMPLETED;6;6;0;4;0;2
32;11;2;15;4;6; densening;1; COMPLETED;3;3;0;2;0;1
33;12;2;7;0;6; densening;1; COMPLETED;0;0;0;0;0;0
34;12;2;10;2;6; densening;1; COMPLETED;2;2;0;1;1;0
35;12;2;18;3;6; densening;1; COMPLETED;3;3;0;1;2;0
36;13;2;6;0;6; densening;1; COMPLETED;2;2;0;2;0;0
37;13;2;11;0;6; densening;1; COMPLETED;1;1;0;1;0;0
38;13;2;16;2;6; densening;1; COMPLETED;2;2;0;1;0;1
39;14;1;3;3;6; densening;1; COMPLETED;1;1;0;1;0;0
40;14;1;4;2;6; densening;1; COMPLETED;3;2;1;2;0;1
41;14;1;13;0;6; densening;1; COMPLETED;1;1;0;1;0;0
42;15;2;3;2;6; densening;1; COMPLETED;1;1;0;1;0;0
43;15;2;7;1;6; densening;1; COMPLETED;2;2;0;1;1;0
44;15;2;12;2;6; densening;1; COMPLETED;1;1;0;1;0;0
45;16;3;4;0;6; densening;1; COMPLETED;0;0;0;0;0;0
46;16;3;6;3;6; densening;1; COMPLETED;2;2;0;1;1;0
47;16;3;14;2;6; densening;1; TERMINATED;0;0;0;0;0;0
48;17;2;4;3;6; densening;1; COMPLETED;2;2;0;2;0;0
49;17;2;5;0;6; densening;1; COMPLETED;1;1;0;1;0;0
50;17;2;13;2;6; densening;1; COMPLETED;2;2;0;1;1;0
51;18;3;2;1;6; densening;1; COMPLETED;2;2;0;1;1;0
52;18;3;11;1;6; densening;1; COMPLETED;2;2;0;1;1;0
53;18;3;14;2;6; densening;1; COMPLETED;1;1;0;1;0;0
54;19;1;1;4;6; densening;1; COMPLETED;1;1;0;1;0;0
55;19;1;6;1;6; densening;1; COMPLETED;3;3;0;1;2;0
56;19;1;11;2;6; densening;1; COMPLETED;3;3;0;1;0;2
57;20;3;4;1;6; densening;1; COMPLETED;2;2;0;2;0;0
58;20;3;6;4;6; densening;1; COMPLETED;1;1;0;1;0;0
59;20;3;7;3;6; densening;1; COMPLETED;2;2;0;2;0;0
60;22;1;4;3;6; densening;1; COMPLETED;1;1;0;1;0;0
61;22;1;7;0;6; densening;1; COMPLETED;1;1;0;1;0;0
62;22;1;15;2;6; densening;1; COMPLETED;1;1;0;1;0;0
63;23;3;3;2;6; densening;1; TERMINATED;1;1;0;1;0;0
64;23;3;15;2;6; densening;1; COMPLETED;1;1;0;1;0;0
65;23;3;18;1;6; densening;1; COMPLETED;2;2;0;1;1;0
66;24;1;3;3;6; densening;1; COMPLETED;3;3;0;1;0;2
67;24;1;6;0;6; densening;1; COMPLETED;2;2;0;2;0;0
68;24;1;16;3;6; densening;1; COMPLETED;1;1;0;1;0;0
69;1;2;6;0;6; densening;2; COMPLETED;0;0;0;0;0;0
70;1;2;9;0;6; densening;2; COMPLETED;1;1;0;1;0;0
71;1;2;16;3;6; densening;2; COMPLETED;2;2;0;2;0;0
72;2;3;4;3;6; densening;2; COMPLETED;2;2;0;2;0;0
73;2;3;7;1;6; densening;2; COMPLETED;2;2;0;2;0;0
74;2;3;11;1;6; densening;2; COMPLETED;2;2;0;1;1;0
75;3;2;10;2;6; densening;2; COMPLETED;2;2;0;2;0;0
76;3;2;11;1;6; densening;2; FAILED;2;1;1;1;0;1
77;3;2;16;0;6; densening;2; COMPLETED;2;2;0;2;0;0
78;4;1;11;4;6; densening;2; TERMINATED;1;1;0;1;0;0
79;4;1;16;3;6; densening;2; TERMINATED;1;1;0;1;0;0
80;4;1;17;1;6; densening;2; COMPLETED;1;1;0;1;0;0
81;5;1;6;1;6; densening;2; COMPLETED;5;5;0;1;0;4
82;5;1;11;1;6; densening;2; COMPLETED;8;8;0;3;2;3
83;5;1;12;3;6; densening;2; COMPLETED;3;3;0;1;1;1
84;6;1;9;1;6; densening;2; COMPLETED;2;2;0;2;0;0
85;6;1;10;2;6; densening;2; TERMINATED;2;2;0;2;0;0
86;6;1;11;3;6; densening;2; COMPLETED;2;2;0;2;0;0
87;7;3;8;4;6; densening;2; COMPLETED;4;4;0;4;0;0
88;7;3;14;1;6; densening;2; COMPLETED;2;2;0;2;0;0
89;7;3;15;4;6; densening;2; COMPLETED;2;2;0;2;0;0
90;8;1;9;1;6; densening;2; COMPLETED;2;2;0;2;0;0
91;8;1;11;1;6; densening;2; COMPLETED;4;4;0;4;0;0
92;8;1;15;4;6; densening;2; COMPLETED;3;3;0;3;0;0
93;9;2;3;0;6; densening;2; COMPLETED;0;0;0;0;0;0
94;9;2;9;4;6; densening;2; COMPLETED;2;2;0;2;0;0
95;9;2;14;2;6; densening;2; COMPLETED;3;3;0;3;0;0
96;10;1;4;3;6; densening;2; COMPLETED;1;1;0;1;0;0
97;10;1;7;0;6; densening;2; COMPLETED;0;0;0;0;0;0
98;10;1;16;2;6; densening;2; TERMINATED;1;1;0;1;0;0
99;11;2;5;4;6; densening;2; TERMINATED;3;3;0;3;0;0
100;11;2;7;1;6; densening;2; TERMINATED;3;3;0;3;0;0
101;11;2;15;1;6; densening;2; TERMINATED;1;1;0;1;0;0
102;12;2;7;1;6; densening;2; TERMINATED;3;3;0;3;0;0
103;12;2;10;4;6; densening;2; COMPLETED;1;1;0;1;0;0
104;12;2;18;4;6; densening;2; COMPLETED;1;1;0;1;0;0
105;13;2;6;2;6; densening;2; COMPLETED;1;1;0;1;0;0
106;13;2;11;1;6; densening;2; COMPLETED;1;1;0;1;0;0
107;13;2;16;1;6; densening;2; COMPLETED;5;5;0;5;0;0
108;14;1;3;4;6; densening;2; COMPLETED;2;2;0;1;0;1
109;14;1;4;1;6; densening;2; COMPLETED;2;2;0;2;0;0
110;14;1;13;4;6; densening;2; COMPLETED;4;4;0;4;0;0
111;15;2;3;1;6; densening;2; TERMINATED;1;1;0;1;0;0
112;15;2;7;0;6; densening;2; COMPLETED;0;0;0;0;0;0
113;15;2;12;1;6; densening;2; COMPLETED;3;3;0;3;0;0
114;16;3;4;2;6; densening;2; TERMINATED;1;1;0;1;0;0
115;16;3;6;1;6; densening;2; COMPLETED;2;2;0;1;0;1
116;16;3;14;4;6; densening;2; COMPLETED;3;3;0;3;0;0
117;17;2;4;1;6; densening;2; COMPLETED;2;2;0;2;0;0
118;17;2;5;1;6; densening;2; COMPLETED;1;1;0;1;0;0
119;17;2;13;4;6; densening;2; COMPLETED;2;2;0;2;0;0
120;18;3;2;3;6; densening;2; TERMINATED;2;2;0;1;1;0
121;18;3;11;0;6; densening;2; COMPLETED;1;1;0;1;0;0
122;18;3;14;3;6; densening;2; COMPLETED;1;1;0;1;0;0
123;19;1;1;0;6; densening;2; TERMINATED;0;0;0;0;0;0
124;19;1;6;2;6; densening;2; TERMINATED;1;1;0;1;0;0
125;19;1;11;4;6; densening;2; COMPLETED;3;3;0;3;0;0
126;20;3;4;0;6; densening;2; COMPLETED;2;1;1;2;0;0
