;Start;End;Start_DT;End_DT;Duration;Duration_Seconds;Duration_Minutes
0;2021-05-10T12:08:25.383Z;2021-05-10T13:02:17.032Z;2021-05-10 12:08:25.383000+00:00;2021-05-10 13:02:17.032000+00:00;0 days 00:53:51.649000;3231;53.85
1;2021-05-11T12:21:20.944Z;2021-05-11T13:49:51.568Z;2021-05-11 12:21:20.944000+00:00;2021-05-11 13:49:51.568000+00:00;0 days 01:28:30.624000;5310;88.5
2;2021-05-11T14:30:14.748Z;2021-05-11T15:39:21.569Z;2021-05-11 14:30:14.748000+00:00;2021-05-11 15:39:21.569000+00:00;0 days 01:09:06.821000;4146;69.1
3;2021-05-19T12:06:30.391Z;2021-05-19T13:34:22.010Z;2021-05-19 12:06:30.391000+00:00;2021-05-19 13:34:22.010000+00:00;0 days 01:27:51.619000;5271;87.85
4;2021-05-21T07:34:03.491Z;2021-05-21T08:47:10.600Z;2021-05-21 07:34:03.491000+00:00;2021-05-21 08:47:10.600000+00:00;0 days 01:13:07.109000;4387;73.11666666666666
5;2021-05-21T09:24:17.038Z;2021-05-21T10:42:03.492Z;2021-05-21 09:24:17.038000+00:00;2021-05-21 10:42:03.492000+00:00;0 days 01:17:46.454000;4666;77.76666666666667
6;2021-05-21T12:42:55.681Z;2021-05-21T14:24:10.488Z;2021-05-21 12:42:55.681000+00:00;2021-05-21 14:24:10.488000+00:00;0 days 01:41:14.807000;6074;101.23333333333333
7;2021-05-25T12:12:50.789Z;2021-05-25T14:07:00.155Z;2021-05-25 12:12:50.789000+00:00;2021-05-25 14:07:00.155000+00:00;0 days 01:54:09.366000;6849;114.15
8;2021-05-25T14:30:44.710Z;2021-05-25T15:45:11.829Z;2021-05-25 14:30:44.710000+00:00;2021-05-25 15:45:11.829000+00:00;0 days 01:14:27.119000;4467;74.45
9;2021-05-27T09:18:47.999Z;2021-05-27T10:31:30.525Z;2021-05-27 09:18:47.999000+00:00;2021-05-27 10:31:30.525000+00:00;0 days 01:12:42.526000;4362;72.7
10;2021-05-31T07:17:54.138Z;2021-05-31T08:15:05.214Z;2021-05-31 07:17:54.138000+00:00;2021-05-31 08:15:05.214000+00:00;0 days 00:57:11.076000;3431;57.18333333333333
11;2021-05-31T09:18:02.525Z;2021-05-31T10:19:26.502Z;2021-05-31 09:18:02.525000+00:00;2021-05-31 10:19:26.502000+00:00;0 days 01:01:23.977000;3683;61.38333333333333
12;2021-06-15T09:32:35.515Z;2021-06-15T11:28:34.911Z;2021-06-15 09:32:35.515000+00:00;2021-06-15 11:28:34.911000+00:00;0 days 01:55:59.396000;6959;115.98333333333333
13;2021-06-16T07:12:35.781Z;2021-06-16T08:16:33.234Z;2021-06-16 07:12:35.781000+00:00;2021-06-16 08:16:33.234000+00:00;0 days 01:03:57.453000;3837;63.95
14;2021-06-16T09:36:46.788Z;2021-06-16T10:56:30.034Z;2021-06-16 09:36:46.788000+00:00;2021-06-16 10:56:30.034000+00:00;0 days 01:19:43.246000;4783;79.71666666666667
15;2021-06-21T09:23:43.500Z;2021-06-21T10:32:22.315Z;2021-06-21 09:23:43.500000+00:00;2021-06-21 10:32:22.315000+00:00;0 days 01:08:38.815000;4118;68.63333333333334
16;2021-06-21T11:18:10.687Z;2021-06-21T12:23:50.851Z;2021-06-21 11:18:10.687000+00:00;2021-06-21 12:23:50.851000+00:00;0 days 01:05:40.164000;3940;65.66666666666667
17;2021-06-21T16:24:31.943Z;2021-06-21T17:32:04.479Z;2021-06-21 16:24:31.943000+00:00;2021-06-21 17:32:04.479000+00:00;0 days 01:07:32.536000;4052;67.53333333333333
18;2021-06-22T14:29:29.677Z;2021-06-22T15:42:19.682Z;2021-06-22 14:29:29.677000+00:00;2021-06-22 15:42:19.682000+00:00;0 days 01:12:50.005000;4370;72.83333333333333
19;2021-06-24T07:08:30.928Z;2021-06-24T08:12:29.334Z;2021-06-24 07:08:30.928000+00:00;2021-06-24 08:12:29.334000+00:00;0 days 01:03:58.406000;3838;63.96666666666667
20;2021-06-25T12:11:24.473Z;2021-06-25T13:13:39.173Z;2021-06-25 12:11:24.473000+00:00;2021-06-25 13:13:39.173000+00:00;0 days 01:02:14.700000;3734;62.233333333333334
21;2021-06-29T07:13:59.622Z;2021-06-29T08:11:02.920Z;2021-06-29 07:13:59.622000+00:00;2021-06-29 08:11:02.920000+00:00;0 days 00:57:03.298000;3423;57.05
22;2021-06-30T11:36:01.406Z;2021-06-30T12:37:47.678Z;2021-06-30 11:36:01.406000+00:00;2021-06-30 12:37:47.678000+00:00;0 days 01:01:46.272000;3706;61.766666666666666
