;Start;End;Start_DT;End_DT;Duration;Duration_Seconds;Duration_Minutes
0;2021-05-10T12:13:51.726Z;2021-05-10T13:01:50.970Z;2021-05-10 12:13:51.726000+00:00;2021-05-10 13:01:50.970000+00:00;0 days 00:47:59.244000;2879;47.983333333333334
1;2021-05-11T12:28:01.814Z;2021-05-11T13:49:23.641Z;2021-05-11 12:28:01.814000+00:00;2021-05-11 13:49:23.641000+00:00;0 days 01:21:21.827000;4881;81.35
2;2021-05-11T14:34:04.393Z;2021-05-11T15:38:05.154Z;2021-05-11 14:34:04.393000+00:00;2021-05-11 15:38:05.154000+00:00;0 days 01:04:00.761000;3840;64.0
3;2021-05-19T12:16:43.886Z;2021-05-19T13:31:27.004Z;2021-05-19 12:16:43.886000+00:00;2021-05-19 13:31:27.004000+00:00;0 days 01:14:43.118000;4483;74.71666666666667
4;2021-05-21T07:40:14.494Z;2021-05-21T08:30:45.665Z;2021-05-21 07:40:14.494000+00:00;2021-05-21 08:30:45.665000+00:00;0 days 00:50:31.171000;3031;50.516666666666666
5;2021-05-21T09:29:09.365Z;2021-05-21T10:41:39.925Z;2021-05-21 09:29:09.365000+00:00;2021-05-21 10:41:39.925000+00:00;0 days 01:12:30.560000;4350;72.5
6;2021-05-21T12:50:07.258Z;2021-05-21T14:23:47.506Z;2021-05-21 12:50:07.258000+00:00;2021-05-21 14:23:47.506000+00:00;0 days 01:33:40.248000;5620;93.66666666666667
7;2021-05-25T12:31:20.212Z;2021-05-25T13:59:40.466Z;2021-05-25 12:31:20.212000+00:00;2021-05-25 13:59:40.466000+00:00;0 days 01:28:20.254000;5300;88.33333333333333
8;2021-05-25T14:38:23.245Z;2021-05-25T15:43:12.278Z;2021-05-25 14:38:23.245000+00:00;2021-05-25 15:43:12.278000+00:00;0 days 01:04:49.033000;3889;64.81666666666666
9;2021-05-27T09:32:18.934Z;2021-05-27T10:26:36.118Z;2021-05-27 09:32:18.934000+00:00;2021-05-27 10:26:36.118000+00:00;0 days 00:54:17.184000;3257;54.28333333333333
10;2021-05-31T07:21:18.499Z;2021-05-31T08:14:31.615Z;2021-05-31 07:21:18.499000+00:00;2021-05-31 08:14:31.615000+00:00;0 days 00:53:13.116000;3193;53.21666666666667
11;2021-05-31T09:23:13.300Z;2021-05-31T10:18:50.856Z;2021-05-31 09:23:13.300000+00:00;2021-05-31 10:18:50.856000+00:00;0 days 00:55:37.556000;3337;55.61666666666667
12;2021-06-15T09:48:35.551Z;2021-06-15T11:11:44.154Z;2021-06-15 09:48:35.551000+00:00;2021-06-15 11:11:44.154000+00:00;0 days 01:23:08.603000;4988;83.13333333333334
13;2021-06-16T07:16:56.409Z;2021-06-16T08:16:00.782Z;2021-06-16 07:16:56.409000+00:00;2021-06-16 08:16:00.782000+00:00;0 days 00:59:04.373000;3544;59.06666666666667
14;2021-06-16T09:42:18.396Z;2021-06-16T10:56:02.859Z;2021-06-16 09:42:18.396000+00:00;2021-06-16 10:56:02.859000+00:00;0 days 01:13:44.463000;4424;73.73333333333333
15;2021-06-21T09:28:59.882Z;2021-06-21T10:31:41.194Z;2021-06-21 09:28:59.882000+00:00;2021-06-21 10:31:41.194000+00:00;0 days 01:02:41.312000;3761;62.68333333333333
16;2021-06-21T11:22:55.487Z;2021-06-21T12:23:23.988Z;2021-06-21 11:22:55.487000+00:00;2021-06-21 12:23:23.988000+00:00;0 days 01:00:28.501000;3628;60.46666666666667
17;2021-06-21T16:30:06.988Z;2021-06-21T17:29:38.243Z;2021-06-21 16:30:06.988000+00:00;2021-06-21 17:29:38.243000+00:00;0 days 00:59:31.255000;3571;59.516666666666666
18;2021-06-22T14:35:38.733Z;2021-06-22T15:40:51.794Z;2021-06-22 14:35:38.733000+00:00;2021-06-22 15:40:51.794000+00:00;0 days 01:05:13.061000;3913;65.21666666666667
19;2021-06-24T07:13:55.518Z;2021-06-24T08:02:25.394Z;2021-06-24 07:13:55.518000+00:00;2021-06-24 08:02:25.394000+00:00;0 days 00:48:29.876000;2909;48.483333333333334
20;2021-06-25T12:16:12.259Z;2021-06-25T13:11:48.470Z;2021-06-25 12:16:12.259000+00:00;2021-06-25 13:11:48.470000+00:00;0 days 00:55:36.211000;3336;55.6
21;2021-06-29T07:19:25.224Z;2021-06-29T08:09:17.995Z;2021-06-29 07:19:25.224000+00:00;2021-06-29 08:09:17.995000+00:00;0 days 00:49:52.771000;2992;49.86666666666667
22;2021-06-30T11:40:30.602Z;2021-06-30T12:37:16.898Z;2021-06-30 11:40:30.602000+00:00;2021-06-30 12:37:16.898000+00:00;0 days 00:56:46.296000;3406;56.766666666666666
