;0;1;2;3;4;5;6
0;Id;EndInit|START;EndTests|TASK_VIEW;SwapLines;Time_Start;Time_End;Shift
1;23;8605;88316;-;2021-06-29T07:19:25.224Z;2021-06-29T08:09:17.995Z;54/54
2;23;8609;8670;X;2021-06-29T07:19:25.229Z;2021-06-29T07:19:27.465Z;0
3;23;10044;10104;X;2021-06-29T07:20:19.266Z;2021-06-29T07:20:21.532Z;0
4;23;11411;11481;X;2021-06-29T07:21:10.969Z;2021-06-29T07:21:13.462Z;0
5;23;12956;13017;X;2021-06-29T07:22:08.844Z;2021-06-29T07:22:11.078Z;0
6;23;14130;14176;X;2021-06-29T07:22:52.571Z;2021-06-29T07:22:54.285Z;0
7;23;15563;15616;X;2021-06-29T07:23:46.496Z;2021-06-29T07:23:48.441Z;0
8;23;16536;16621;X;2021-06-29T07:24:23.363Z;2021-06-29T07:24:26.563Z;0
9;23;17967;18058;X;2021-06-29T07:25:17.546Z;2021-06-29T07:25:21.008Z;0
10;23;19209;19261;X;2021-06-29T07:26:03.974Z;2021-06-29T07:26:05.916Z;0
11;23;20395;20452;X;2021-06-29T07:26:48.098Z;2021-06-29T07:26:50.311Z;0
12;23;21876;21923;X;2021-06-29T07:27:43.547Z;2021-06-29T07:27:45.326Z;0
13;23;23301;23375;X;2021-06-29T07:28:37.155Z;2021-06-29T07:28:39.847Z;0
14;23;24440;24484;X;2021-06-29T07:29:20.234Z;2021-06-29T07:29:21.985Z;0
15;23;25490;25600;X;2021-06-29T07:29:59.490Z;2021-06-29T07:30:03.489Z;0
16;23;26629;26713;X;2021-06-29T07:30:42.151Z;2021-06-29T07:30:45.322Z;0
17;23;28080;28179;X;2021-06-29T07:31:36.420Z;2021-06-29T07:31:40.106Z;0
18;23;29361;29450;X;2021-06-29T07:32:24.120Z;2021-06-29T07:32:27.413Z;0
19;23;30639;30709;X;2021-06-29T07:33:11.559Z;2021-06-29T07:33:14.190Z;0
20;23;35968;36021;X;2021-06-29T07:36:34.873Z;2021-06-29T07:36:36.850Z;0
21;23;37100;37185;X;2021-06-29T07:37:16.930Z;2021-06-29T07:37:20.079Z;0
22;23;38786;38835;X;2021-06-29T07:38:20.148Z;2021-06-29T07:38:21.908Z;0
23;23;41191;41276;X;2021-06-29T07:39:51.311Z;2021-06-29T07:39:54.550Z;0
24;23;43710;43801;X;2021-06-29T07:41:27.221Z;2021-06-29T07:41:30.637Z;0
25;23;44724;44771;X;2021-06-29T07:42:04.982Z;2021-06-29T07:42:06.766Z;0
26;23;46157;46202;X;2021-06-29T07:42:58.584Z;2021-06-29T07:43:00.353Z;0
27;23;47369;47414;X;2021-06-29T07:43:44.027Z;2021-06-29T07:43:45.776Z;0
28;23;48492;48540;X;2021-06-29T07:44:25.980Z;2021-06-29T07:44:27.751Z;0
29;23;49758;49832;X;2021-06-29T07:45:13.488Z;2021-06-29T07:45:16.384Z;0
30;23;50826;50920;X;2021-06-29T07:45:53.709Z;2021-06-29T07:45:57.144Z;0
31;23;51848;51931;X;2021-06-29T07:46:31.026Z;2021-06-29T07:46:34.199Z;0
32;23;53024;53097;X;2021-06-29T07:47:14.551Z;2021-06-29T07:47:17.278Z;0
33;23;54634;54693;X;2021-06-29T07:48:14.158Z;2021-06-29T07:48:16.415Z;0
34;23;56200;56259;X;2021-06-29T07:49:12.098Z;2021-06-29T07:49:14.280Z;0
35;23;57483;57536;X;2021-06-29T07:49:59.861Z;2021-06-29T07:50:01.876Z;0
36;23;58670;58720;X;2021-06-29T07:50:44.098Z;2021-06-29T07:50:45.924Z;0
37;23;59880;59980;X;2021-06-29T07:51:29.565Z;2021-06-29T07:51:33.365Z;0
38;23;61189;64952;X;2021-06-29T07:52:18.309Z;2021-06-29T07:54:41.583Z;0
39;23;66332;66385;X;2021-06-29T07:55:33.638Z;2021-06-29T07:55:35.600Z;0
40;23;67676;67762;X;2021-06-29T07:56:23.688Z;2021-06-29T07:56:26.892Z;0
41;23;68819;68874;X;2021-06-29T07:57:05.988Z;2021-06-29T07:57:08.059Z;0
42;23;70059;70111;X;2021-06-29T07:57:52.472Z;2021-06-29T07:57:54.431Z;0
43;23;71389;71440;X;2021-06-29T07:58:42.456Z;2021-06-29T07:58:44.390Z;0
44;23;72706;72757;X;2021-06-29T07:59:32.216Z;2021-06-29T07:59:34.159Z;0
45;23;74241;74308;X;2021-06-29T08:00:29.871Z;2021-06-29T08:00:32.326Z;0
46;23;75554;75614;X;2021-06-29T08:01:19.278Z;2021-06-29T08:01:21.459Z;0
47;23;76842;76921;X;2021-06-29T08:02:07.393Z;2021-06-29T08:02:10.381Z;0
48;23;78301;78355;X;2021-06-29T08:03:02.793Z;2021-06-29T08:03:04.842Z;0
49;23;79690;79737;X;2021-06-29T08:03:55.118Z;2021-06-29T08:03:56.836Z;0
50;23;81052;81106;X;2021-06-29T08:04:46.104Z;2021-06-29T08:04:48.032Z;0
51;23;82508;82558;X;2021-06-29T08:05:40.681Z;2021-06-29T08:05:42.634Z;0
52;23;83682;83772;X;2021-06-29T08:06:24.320Z;2021-06-29T08:06:27.615Z;0
53;23;84656;84714;X;2021-06-29T08:07:00.666Z;2021-06-29T08:07:02.822Z;0
54;23;85954;85999;X;2021-06-29T08:07:49.268Z;2021-06-29T08:07:50.981Z;0
55;23;87130;87210;X;2021-06-29T08:08:32.946Z;2021-06-29T08:08:35.971Z;0
56;22;7588;96247;-;2021-06-25T12:16:12.259Z;2021-06-25T13:11:48.470Z;53/54
57;22;7591;7667;X;2021-06-25T12:16:12.263Z;2021-06-25T12:16:15.162Z;0
58;22;9252;9429;X;2021-06-25T12:17:14.694Z;2021-06-25T12:17:21.383Z;0
59;22;10921;10985;X;2021-06-25T12:18:17.934Z;2021-06-25T12:18:20.354Z;0
60;22;12234;12508;X;2021-06-25T12:19:07.591Z;2021-06-25T12:19:17.848Z;0
61;22;13663;13721;X;2021-06-25T12:20:00.738Z;2021-06-25T12:20:02.796Z;0
62;22;15294;15394;X;2021-06-25T12:21:01.885Z;2021-06-25T12:21:05.589Z;0
63;22;17074;17168;X;2021-06-25T12:22:08.549Z;2021-06-25T12:22:12.225Z;0
64;22;18705;18797;X;2021-06-25T12:23:09.922Z;2021-06-25T12:23:13.277Z;0
65;22;20227;20327;X;2021-06-25T12:24:06.783Z;2021-06-25T12:24:10.516Z;0
66;22;21972;22032;X;2021-06-25T12:25:12.630Z;2021-06-25T12:25:14.956Z;0
67;22;23483;23601;X;2021-06-25T12:26:09.705Z;2021-06-25T12:26:14.361Z;0
68;22;25071;25125;X;2021-06-25T12:27:09.862Z;2021-06-25T12:27:11.828Z;0
69;22;26570;26661;X;2021-06-25T12:28:06.196Z;2021-06-25T12:28:09.677Z;0
70;22;27890;27976;X;2021-06-25T12:28:55.968Z;2021-06-25T12:28:59.042Z;0
71;22;29294;29384;X;2021-06-25T12:29:48.697Z;2021-06-25T12:29:52.039Z;0
72;22;30422;30479;X;2021-06-25T12:30:31.184Z;2021-06-25T12:30:33.277Z;0
73;22;31549;31641;X;2021-06-25T12:31:13.060Z;2021-06-25T12:31:16.476Z;0
74;22;32758;32986;X;2021-06-25T12:31:57.974Z;2021-06-25T12:32:06.598Z;0
75;22;43924;44078;X;2021-06-25T12:39:04.983Z;2021-06-25T12:39:11.005Z;0
