;MappingMethod;NumLayers;Completed_Abs;Completed_Rel;Failed_Abs;Failed_Rel;Terminated_Abs;Terminated_Rel;Sum;Sum_Rel
0; densening;6;254;0.736231884057971;3;0.008695652173913044;88;0.25507246376811593;345;1.0
1; densening;9;276;0.8;6;0.017391304347826087;63;0.1826086956521739;345;1.0
2; densening;12;261;0.7565217391304347;1;0.002898550724637681;83;0.24057971014492754;345;0.9999999999999999
3; densening;15;262;0.7594202898550725;3;0.008695652173913044;80;0.2318840579710145;345;1.0
4; densening;18;263;0.7623188405797101;4;0.011594202898550725;78;0.22608695652173913;345;1.0
5; densening;21;239;0.6927536231884058;5;0.014492753623188406;101;0.2927536231884058;345;1.0
6; direct;6;255;0.7391304347826086;2;0.005797101449275362;88;0.25507246376811593;345;1.0
7; direct;9;275;0.7971014492753623;3;0.008695652173913044;67;0.19420289855072465;345;1.0
8; direct;12;255;0.7391304347826086;4;0.011594202898550725;86;0.2492753623188406;345;1.0
9; direct;15;254;0.736231884057971;8;0.02318840579710145;83;0.24057971014492754;345;1.0
10; direct;18;242;0.7014492753623188;7;0.020289855072463767;96;0.2782608695652174;345;1.0
11; direct;21;241;0.6985507246376812;7;0.020289855072463767;97;0.2811594202898551;345;1.0
12; widening;6;232;0.672463768115942;8;0.02318840579710145;105;0.30434782608695654;345;1.0
13; widening;9;220;0.6376811594202898;7;0.020289855072463767;118;0.34202898550724636;345;0.9999999999999999
14; widening;12;216;0.6260869565217392;10;0.028985507246376812;119;0.34492753623188405;345;1.0
15; widening;15;205;0.5942028985507246;16;0.0463768115942029;124;0.35942028985507246;345;1.0
16; widening;18;203;0.5884057971014492;16;0.0463768115942029;126;0.3652173913043478;345;1.0
17; widening;21;196;0.5681159420289855;25;0.07246376811594203;124;0.35942028985507246;345;1.0
