;Proband; densening_6; densening_9; densening_12; densening_15; densening_18; densening_21; direct_6; direct_9; direct_12; direct_15; direct_18; direct_21; widening_6; widening_9; widening_12; widening_15; widening_18; widening_21
0;1;0.6;0.7333333333333333;0.6666666666666666;0.9333333333333332;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.8;0.6666666666666666;0.6;0.6666666666666666;0.6666666666666666;0.5333333333333333;0.5333333333333333;0.6;0.6666666666666666;0.7333333333333333;0.4666666666666667
1;2;0.9333333333333332;1.0;1.0;0.8666666666666667;0.8666666666666667;0.8666666666666667;0.8666666666666667;0.8666666666666667;0.9333333333333332;0.9333333333333332;0.8;0.6666666666666666;0.8;0.8666666666666667;0.7333333333333333;0.4666666666666667;0.7333333333333333;0.6666666666666666
2;3;0.6666666666666666;0.7333333333333333;0.4666666666666667;0.8;0.6666666666666666;0.4;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.4;0.4666666666666667;0.4;0.4666666666666667;0.5333333333333333;0.6666666666666666;0.6;0.5333333333333333;0.6
3;4;0.5333333333333333;0.7333333333333333;0.6;0.4666666666666667;0.2;0.4;0.5333333333333333;0.5333333333333333;0.3333333333333333;0.3333333333333333;0.4;0.3333333333333333;0.5333333333333333;0.5333333333333333;0.2666666666666666;0.2;0.2;0.2666666666666666
4;5;0.8;0.8666666666666667;1.0;0.6666666666666666;0.9333333333333332;0.8;0.8;0.8;0.8666666666666667;0.6666666666666666;0.6666666666666666;0.6;0.8666666666666667;0.6;0.7333333333333333;0.6666666666666666;0.6666666666666666;0.6
5;6;0.8666666666666667;0.9333333333333332;0.8666666666666667;1.0;0.5333333333333333;0.6;0.8666666666666667;0.6666666666666666;0.8;0.6666666666666666;0.4666666666666667;0.8;0.9333333333333332;0.6666666666666666;0.6;0.7333333333333333;0.6666666666666666;0.5333333333333333
6;7;1.0;0.9333333333333332;1.0;0.6;0.8666666666666667;0.4666666666666667;0.6666666666666666;0.8666666666666667;0.7333333333333333;0.8;0.6666666666666666;0.7333333333333333;0.6666666666666666;0.6;0.8;0.6666666666666666;0.8;0.6
7;8;0.8;0.7333333333333333;0.6666666666666666;0.7333333333333333;0.8;0.5333333333333333;0.6;0.8666666666666667;0.8666666666666667;0.8666666666666667;0.6;0.7333333333333333;0.7333333333333333;0.5333333333333333;0.6;0.6666666666666666;0.2666666666666666;0.6666666666666666
8;9;0.9333333333333332;0.8;0.9333333333333332;0.8666666666666667;0.8;0.8666666666666667;0.9333333333333332;0.9333333333333332;1.0;0.9333333333333332;0.9333333333333332;0.8666666666666667;0.8;0.6;0.7333333333333333;0.6666666666666666;0.5333333333333333;0.4666666666666667
9;10;0.3333333333333333;0.3333333333333333;0.2;0.6666666666666666;0.4666666666666667;0.4666666666666667;0.3333333333333333;0.4666666666666667;0.2;0.1333333333333333;0.4;0.3333333333333333;0.2;0.2666666666666666;0.2666666666666666;0.2666666666666666;0.3333333333333333;0.3333333333333333
10;11;0.2;0.2666666666666666;0.4;0.5333333333333333;0.5333333333333333;0.3333333333333333;0.3333333333333333;0.6;0.6666666666666666;0.7333333333333333;0.8666666666666667;0.6;0.3333333333333333;0.3333333333333333;0.4;0.3333333333333333;0.6666666666666666;0.4
11;12;0.8;0.9333333333333332;0.9333333333333332;0.8666666666666667;1.0;0.8666666666666667;0.9333333333333332;1.0;0.8;0.8;0.8;1.0;0.9333333333333332;0.7333333333333333;0.7333333333333333;0.6;0.8;0.6
12;13;0.7333333333333333;0.8666666666666667;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.9333333333333332;0.7333333333333333;1.0;0.8666666666666667;0.8;0.7333333333333333;0.5333333333333333;0.6666666666666666;0.8;0.6666666666666666;0.6666666666666666;0.5333333333333333;0.7333333333333333
13;14;0.9333333333333332;0.6666666666666666;0.8666666666666667;0.7333333333333333;0.8;0.9333333333333332;0.7333333333333333;1.0;1.0;0.8666666666666667;0.8;0.9333333333333332;0.8666666666666667;0.8;0.6;0.6666666666666666;0.6;0.6666666666666666
14;15;0.4666666666666667;0.9333333333333332;0.8666666666666667;0.8666666666666667;0.9333333333333332;0.9333333333333332;0.6;0.8;1.0;0.9333333333333332;1.0;1.0;0.8;0.8666666666666667;0.7333333333333333;0.8;0.8;0.7333333333333333
15;16;0.8;0.6;0.4;0.5333333333333333;0.6666666666666666;0.6666666666666666;0.7333333333333333;0.6;0.4;0.5333333333333333;0.4666666666666667;0.4;0.5333333333333333;0.3333333333333333;0.4666666666666667;0.3333333333333333;0.2666666666666666;0.1333333333333333
