;MappingMethod;FrameNumber_Start;FrameNumber_Finish;Block;Task;Trial;NumLayers;Target;Target_Relative;Result;Result_Numeric_Completed;Result_Numeric_Terminated;Result_Numeric_Failed;Proband
0; direct;135;330;1;1;0;6;4;0.6666666666666666; COMPLETED;1;0;0;01
1; direct;413;531;1;1;1;6;5;0.8333333333333334; TERMINATED;0;1;0;01
2; direct;603;804;1;1;2;6;3;0.5; COMPLETED;1;0;0;01
3; direct;870;969;1;1;3;6;1;0.16666666666666666; TERMINATED;0;1;0;01
4; direct;1029;1177;1;1;4;6;2;0.3333333333333333; COMPLETED;1;0;0;01
5; direct;1301;1487;1;2;0;9;7;0.7777777777777778; COMPLETED;1;0;0;01
6; direct;1554;1713;1;2;1;9;8;0.8888888888888888; COMPLETED;1;0;0;01
7; direct;1759;2124;1;2;2;9;1;0.1111111111111111; TERMINATED;0;1;0;01
8; direct;2154;2460;1;2;3;9;5;0.5555555555555556; COMPLETED;1;0;0;01
9; direct;2518;2779;1;2;4;9;2;0.2222222222222222; TERMINATED;0;1;0;01
10; direct;2880;3133;1;3;0;9;1;0.1111111111111111; COMPLETED;1;0;0;01
11; direct;3189;3397;1;3;1;9;5;0.5555555555555556; COMPLETED;1;0;0;01
12; direct;3444;3615;1;3;2;9;2;0.2222222222222222; COMPLETED;1;0;0;01
13; direct;3667;3785;1;3;3;9;8;0.8888888888888888; TERMINATED;0;1;0;01
14; direct;3832;4048;1;3;4;9;7;0.7777777777777778; COMPLETED;1;0;0;01
15; direct;4166;4381;1;4;0;15;11;0.7333333333333333; COMPLETED;1;0;0;01
16; direct;4433;4646;1;4;1;15;4;0.26666666666666666; COMPLETED;1;0;0;01
17; direct;4703;4892;1;4;2;15;8;0.5333333333333333; TERMINATED;0;1;0;01
18; direct;4943;5133;1;4;3;15;14;0.9333333333333333; TERMINATED;0;1;0;01
19; direct;5191;5401;1;4;4;15;1;0.06666666666666667; TERMINATED;0;1;0;01
20; direct;5518;5694;1;5;0;12;11;0.9166666666666666; COMPLETED;1;0;0;01
21; direct;5744;5972;1;5;1;12;3;0.25; COMPLETED;1;0;0;01
22; direct;6019;6234;1;5;2;12;6;0.5; COMPLETED;1;0;0;01
23; direct;6292;6425;1;5;3;12;9;0.75; TERMINATED;0;1;0;01
24; direct;6477;6597;1;5;4;12;1;0.08333333333333333; TERMINATED;0;1;0;01
25; direct;6716;6898;1;6;0;9;8;0.8888888888888888; COMPLETED;1;0;0;01
26; direct;6950;7120;1;6;1;9;1;0.1111111111111111; COMPLETED;1;0;0;01
27; direct;7165;7383;1;6;2;9;5;0.5555555555555556; COMPLETED;1;0;0;01
28; direct;7425;7604;1;6;3;9;7;0.7777777777777778; COMPLETED;1;0;0;01
29; direct;7658;7831;1;6;4;9;2;0.2222222222222222; COMPLETED;1;0;0;01
30; direct;7998;8224;1;7;0;21;1;0.047619047619047616; TERMINATED;0;1;0;01
31; direct;8268;8476;1;7;1;21;16;0.7619047619047619; COMPLETED;1;0;0;01
32; direct;8524;8699;1;7;2;21;11;0.5238095238095238; TERMINATED;0;1;0;01
33; direct;8757;9123;1;7;3;21;20;0.9523809523809523; COMPLETED;1;0;0;01
34; direct;9175;9381;1;7;4;21;5;0.23809523809523808; COMPLETED;1;0;0;01
35; direct;9476;9652;1;8;0;18;1;0.05555555555555555; COMPLETED;1;0;0;01
36; direct;9692;9901;1;8;1;18;14;0.7777777777777778; TERMINATED;0;1;0;01
