;MappingMethod;NumLayers;Completed_Num;Completed_Total;Completed_Avg;Failed_Num;Failed_Total;Failed_Avg;Terminated_Num;Terminated_Total;Terminated_Avg;Sum_Num;Sum_Total;All_Avg
0; densening;6;254;2321.659;9.140389763779527;3;20.797;6.932333333333333;88;525.1870000000004;5.968034090909095;345;2867.6430000000005;8.312008695652175
1; densening;9;275;3114.789;11.326505454545455;6;44.807;7.467833333333334;64;718.1360000000001;11.220875000000001;345;3877.732;11.239802898550725
2; densening;12;261;2789.1159999999973;10.686268199233705;2;13.762;6.881;82;1246.828;15.205219512195121;345;4049.7059999999974;11.738278260869558
3; densening;15;261;3064.5490000000004;11.741567049808431;2;48.667;24.3335;82;747.5289999999995;9.116207317073165;345;3860.745;11.190565217391304
4; densening;18;263;3372.9489999999996;12.824901140684409;4;27.413;6.85325;78;894.6200000000003;11.469487179487183;345;4294.982;12.449223188405798
5; densening;21;239;3196.226999999998;13.373334728033464;5;68.283;13.656600000000001;101;1116.6959999999997;11.056396039603957;345;4381.205999999997;12.699147826086948
6; direct;6;252;2129.488000000001;8.45034920634921;2;14.699000000000002;7.349500000000001;91;845.3370000000002;9.289417582417585;345;2989.5240000000013;8.665286956521744
7; direct;9;277;3887.7069999999985;14.035043321299634;3;19.595;6.531666666666666;65;394.8240000000001;6.074215384615386;345;4302.125999999998;12.469930434782604
8; direct;12;257;2297.3160000000016;8.938972762645921;4;27.983000000000004;6.995750000000001;84;663.1949999999999;7.895178571428571;345;2988.4940000000015;8.662301449275366
9; direct;15;253;2646.6429999999996;10.461039525691698;8;114.05900000000003;14.257375000000003;84;1043.106;12.417928571428572;345;3803.808;11.025530434782608
10; direct;18;242;3214.9520000000007;13.284925619834713;7;89.85400000000001;12.836285714285717;96;1140.253;11.877635416666665;345;4445.059;12.884228985507248
11; direct;21;244;3315.872;13.589639344262295;7;57.923;8.274714285714285;94;1150.3099999999997;12.237340425531912;345;4524.105;13.113347826086954
12; widening;6;233;2878.9160000000006;12.355862660944208;8;53.909;6.738625;104;496.1659999999997;4.77082692307692;345;3428.9910000000004;9.939104347826088
13; widening;9;222;2545.6659999999993;11.466963963963961;7;69.968;9.995428571428572;116;1082.024;9.327793103448276;345;3697.657999999999;10.717849275362315
14; widening;12;214;2276.3050000000003;10.63693925233645;10;75.396;7.5396;121;1030.8020000000001;8.51902479338843;345;3382.5030000000006;9.804356521739132
15; widening;15;203;2073.796999999999;10.215748768472903;16;191.46800000000002;11.966750000000001;126;1340.2049999999997;10.636547619047617;345;3605.4699999999984;10.450637681159415
16; widening;18;203;2662.712;13.116807881773399;15;159.047;10.603133333333334;127;1494.66;11.768976377952757;345;4316.419;12.511359420289855
17; widening;21;196;2566.3300000000013;13.093520408163272;26;418.00199999999995;16.076999999999998;123;1559.5060000000012;12.678910569105701;345;4543.8380000000025;13.17054492753624
