;;;;;Duration;Duration;Duration;Duration;Duration;Target;Target;Target;Target;Target;Target_Relative;Target_Relative;Target_Relative;Target_Relative;Target_Relative;Duration_Sum
Trial;;;;;0;1;2;3;4;0;1;2;3;4;0;1;2;3;4;
Proband;Block;Task;MappingMethod;NumLayers;;;;;;;;;;;;;;;;
01;1;1; direct;6;7.368;4.414;7.155;3.627;5.516;4.0;5.0;3.0;1.0;2.0;0.6666666666666666;0.8333333333333334;0.5;0.16666666666666666;0.3333333333333333;28.08
01;1;2; direct;9;6.978;6.029;13.55;11.628;9.832;7.0;8.0;1.0;5.0;2.0;0.7777777777777778;0.8888888888888888;0.1111111111111111;0.5555555555555556;0.2222222222222222;48.017
01;1;3; direct;9;9.463;7.849;6.402;4.394;8.062;1.0;5.0;2.0;8.0;7.0;0.1111111111111111;0.5555555555555556;0.2222222222222222;0.8888888888888888;0.7777777777777778;36.169999999999995
01;1;4; direct;15;8.117;7.91;7.202;7.145;7.956;11.0;4.0;8.0;14.0;1.0;0.7333333333333333;0.26666666666666666;0.5333333333333333;0.9333333333333333;0.06666666666666667;38.33
01;1;5; direct;12;6.645;8.612;8.256;5.049;4.624;11.0;3.0;6.0;9.0;1.0;0.9166666666666666;0.25;0.5;0.75;0.08333333333333333;33.186
01;1;6; direct;9;7.138;6.315;8.434;6.845;6.568;8.0;1.0;5.0;7.0;2.0;0.8888888888888888;0.1111111111111111;0.5555555555555556;0.7777777777777778;0.2222222222222222;35.3
01;1;7; direct;21;8.554;7.948;6.722;13.702;7.631;1.0;16.0;11.0;20.0;5.0;0.047619047619047616;0.7619047619047619;0.5238095238095238;0.9523809523809523;0.23809523809523808;44.557
01;1;8; direct;18;6.736;8.166;7.459;5.696;9.571;1.0;14.0;9.0;5.0;17.0;0.05555555555555555;0.7777777777777778;0.5;0.2777777777777778;0.9444444444444444;37.628
01;1;9; direct;21;7.07;5.58;8.794;9.885;59.043;5.0;1.0;11.0;16.0;20.0;0.23809523809523808;0.047619047619047616;0.5238095238095238;0.7619047619047619;0.9523809523809523;90.372
01;1;10; direct;15;7.646;8.418;8.534;8.095;6.751;1.0;4.0;14.0;11.0;8.0;0.06666666666666667;0.26666666666666666;0.9333333333333333;0.7333333333333333;0.5333333333333333;39.443999999999996
01;1;11; direct;18;7.173;6.003;7.651;7.27;8.081;9.0;5.0;17.0;1.0;14.0;0.5;0.2777777777777778;0.9444444444444444;0.05555555555555555;0.7777777777777778;36.178
01;1;12; direct;15;8.66;9.016;8.358;5.87;6.198;1.0;14.0;8.0;11.0;4.0;0.06666666666666667;0.9333333333333333;0.5333333333333333;0.7333333333333333;0.26666666666666666;38.102000000000004
01;1;13; direct;6;3.69;6.075;4.953;5.39;3.063;4.0;2.0;5.0;1.0;3.0;0.6666666666666666;0.3333333333333333;0.8333333333333334;0.16666666666666666;0.5;23.171
01;1;14; direct;18;7.173;5.924;9.593;5.231;7.974;14.0;5.0;1.0;9.0;17.0;0.7777777777777778;0.2777777777777778;0.05555555555555555;0.5;0.9444444444444444;35.894999999999996
01;1;15; direct;12;5.974;22.207;6.314;5.756;7.487;3.0;11.0;1.0;9.0;6.0;0.25;0.9166666666666666;0.08333333333333333;0.75;0.5;47.73800000000001
01;1;16; direct;12;5.866;4.7;6.486;6.352;7.861;3.0;9.0;6.0;11.0;1.0;0.25;0.75;0.5;0.9166666666666666;0.08333333333333333;31.265
01;1;17; direct;6;7.829;4.869;6.035;5.586;6.541;3.0;4.0;2.0;1.0;5.0;0.5;0.6666666666666666;0.3333333333333333;0.16666666666666666;0.8333333333333334;30.860000000000003
01;1;18; direct;21;7.709;12.123;7.034;7.592;7.777;16.0;5.0;1.0;11.0;20.0;0.7619047619047619;0.23809523809523808;0.047619047619047616;0.5238095238095238;0.9523809523809523;42.235
01;2;1; densening;12;7.046;6.038;8.894;8.365;7.669;3.0;1.0;11.0;6.0;9.0;0.25;0.08333333333333333;0.9166666666666666;0.5;0.75;38.012
01;2;2; densening;9;6.209;8.446;4.465;4.078;5.351;2.0;7.0;8.0;5.0;1.0;0.2222222222222222;0.7777777777777778;0.8888888888888888;0.5555555555555556;0.1111111111111111;28.548999999999996
01;2;3; densening;15;8.298;5.385;9.89;7.696;6.212;11.0;1.0;14.0;4.0;8.0;0.7333333333333333;0.06666666666666667;0.9333333333333333;0.26666666666666666;0.5333333333333333;37.480999999999995
01;2;4; densening;21;7.254;5.869;11.696;7.594;8.006;11.0;1.0;20.0;16.0;5.0;0.5238095238095238;0.047619047619047616;0.9523809523809523;0.7619047619047619;0.23809523809523808;40.419
01;2;5; densening;12;6.173;5.553;6.749;7.621;4.713;11.0;6.0;3.0;9.0;1.0;0.9166666666666666;0.5;0.25;0.75;0.08333333333333333;30.808999999999997
01;2;6; densening;6;5.253;6.353;6.421;4.731;6.299;2.0;5.0;3.0;1.0;4.0;0.3333333333333333;0.8333333333333334;0.5;0.16666666666666666;0.6666666666666666;29.057000000000002
01;2;7; densening;21;7.815;8.33;7.839;9.518;4.548;16.0;20.0;1.0;11.0;5.0;0.7619047619047619;0.9523809523809523;0.047619047619047616;0.5238095238095238;0.23809523809523808;38.050000000000004
01;2;8; densening;18;6.77;9.442;12.797;7.288;10.787;5.0;9.0;14.0;17.0;1.0;0.2777777777777778;0.5;0.7777777777777778;0.9444444444444444;0.05555555555555555;47.083999999999996
01;2;9; densening;6;7.321;6.604;3.822;5.422;4.49;2.0;3.0;4.0;1.0;5.0;0.3333333333333333;0.5;0.6666666666666666;0.16666666666666666;0.8333333333333334;27.659
01;2;10; densening;15;7.119;7.085;6.838;7.176;9.224;1.0;4.0;14.0;8.0;11.0;0.06666666666666667;0.26666666666666666;0.9333333333333333;0.5333333333333333;0.7333333333333333;37.44200000000001
01;2;11; densening;9;7.983;5.169;6.054;5.168;5.747;8.0;7.0;5.0;1.0;2.0;0.8888888888888888;0.7777777777777778;0.5555555555555556;0.1111111111111111;0.2222222222222222;30.121
01;2;12; densening;15;11.677;6.374;5.28;5.819;8.443;14.0;11.0;4.0;1.0;8.0;0.9333333333333333;0.7333333333333333;0.26666666666666666;0.06666666666666667;0.5333333333333333;37.592999999999996
01;2;13; densening;21;3.921;9.699;9.345;7.335;8.583;1.0;20.0;11.0;5.0;16.0;0.047619047619047616;0.9523809523809523;0.5238095238095238;0.23809523809523808;0.7619047619047619;38.883
01;2;14; densening;18;7.846;8.056;5.041;5.31;10.186;9.0;17.0;1.0;5.0;14.0;0.5;0.9444444444444444;0.05555555555555555;0.2777777777777778;0.7777777777777778;36.43899999999999
01;2;15; densening;12;8.598;6.954;4.321;5.178;7.74;9.0;6.0;3.0;1.0;11.0;0.75;0.5;0.25;0.08333333333333333;0.9166666666666666;32.791
01;2;16; densening;6;6.754;6.217;3.749;6.386;2.723;4.0;5.0;3.0;2.0;1.0;0.6666666666666666;0.8333333333333334;0.5;0.3333333333333333;0.16666666666666666;25.828999999999997
01;2;17; densening;18;5.427;6.525;8.009;5.747;7.769;5.0;1.0;17.0;14.0;9.0;0.2777777777777778;0.05555555555555555;0.9444444444444444;0.7777777777777778;0.5;33.477
01;2;18; densening;9;5.377;5.41;7.588;3.527;4.654;1.0;2.0;7.0;5.0;8.0;0.1111111111111111;0.2222222222222222;0.7777777777777778;0.5555555555555556;0.8888888888888888;26.556
01;3;1; widening;6;7.304;5.462;4.413;3.459;4.476;4.0;2.0;5.0;1.0;3.0;0.6666666666666666;0.3333333333333333;0.8333333333333334;0.16666666666666666;0.5;25.114
01;3;2; widening;21;9.215;7.038;7.556;7.784;6.828;11.0;1.0;20.0;16.0;5.0;0.5238095238095238;0.047619047619047616;0.9523809523809523;0.7619047619047619;0.23809523809523808;38.421
