;Proband;1_ densening_6;1_ densening_9;1_ densening_12;1_ densening_15;1_ densening_18;1_ densening_21;1_ direct_6;1_ direct_9;1_ direct_12;1_ direct_15;1_ direct_18;1_ direct_21;1_ widening_6;1_ widening_9;1_ widening_12;1_ widening_15;1_ widening_18;1_ widening_21;2_ densening_6;2_ densening_9;2_ densening_12;2_ densening_15;2_ densening_18;2_ densening_21;2_ direct_6;2_ direct_9;2_ direct_12;2_ direct_15;2_ direct_18;2_ direct_21;2_ widening_6;2_ widening_9;2_ widening_12;2_ widening_15;2_ widening_18;2_ widening_21;3_ densening_6;3_ densening_9;3_ densening_12;3_ densening_15;3_ densening_18;3_ densening_21;3_ direct_6;3_ direct_9;3_ direct_12;3_ direct_15;3_ direct_18;3_ direct_21;3_ widening_6;3_ widening_9;3_ widening_12;3_ widening_15;3_ widening_18;3_ widening_21;4_ densening_6;4_ densening_9;4_ densening_12;4_ densening_15;4_ densening_18;4_ densening_21;4_ direct_6;4_ direct_9;4_ direct_12;4_ direct_15;4_ direct_18;4_ direct_21;4_ widening_6;4_ widening_9;4_ widening_12;4_ widening_15;4_ widening_18;4_ widening_21;5_ densening_6;5_ densening_9;5_ densening_12;5_ densening_15;5_ densening_18;5_ densening_21;5_ direct_6;5_ direct_9;5_ direct_12;5_ direct_15;5_ direct_18;5_ direct_21;5_ widening_6;5_ widening_9;5_ widening_12;5_ widening_15;5_ widening_18;5_ widening_21;6_ densening_6;6_ densening_9;6_ densening_12;6_ densening_15;6_ densening_18;6_ densening_21;6_ direct_6;6_ direct_9;6_ direct_12;6_ direct_15;6_ direct_18;6_ direct_21;6_ widening_6;6_ widening_9;6_ widening_12;6_ widening_15;6_ widening_18;6_ widening_21;7_ densening_6;7_ densening_9;7_ densening_12;7_ densening_15;7_ densening_18;7_ densening_21;7_ direct_6;7_ direct_9;7_ direct_12;7_ direct_15;7_ direct_18;7_ direct_21;7_ widening_6;7_ widening_9;7_ widening_12;7_ widening_15;7_ widening_18;7_ widening_21;8_ densening_6;8_ densening_9;8_ densening_12;8_ densening_15;8_ densening_18;8_ densening_21;8_ direct_6;8_ direct_9;8_ direct_12;8_ direct_15;8_ direct_18;8_ direct_21;8_ widening_6;8_ widening_9;8_ widening_12;8_ widening_15;8_ widening_18;8_ widening_21;9_ densening_6;9_ densening_9;9_ densening_12;9_ densening_15;9_ densening_18;9_ densening_21;9_ direct_6;9_ direct_9;9_ direct_12;9_ direct_15;9_ direct_18;9_ direct_21;9_ widening_6;9_ widening_9;9_ widening_12;9_ widening_15;9_ widening_18;9_ widening_21;10_ densening_6;10_ densening_9;10_ densening_12;10_ densening_15;10_ densening_18;10_ densening_21;10_ direct_6;10_ direct_9;10_ direct_12;10_ direct_15;10_ direct_18;10_ direct_21;10_ widening_6;10_ widening_9;10_ widening_12;10_ widening_15;10_ widening_18;10_ widening_21;11_ densening_6;11_ densening_9;11_ densening_12;11_ densening_15;11_ densening_18;11_ densening_21;11_ direct_6;11_ direct_9;11_ direct_12;11_ direct_15;11_ direct_18;11_ direct_21;11_ widening_6;11_ widening_9;11_ widening_12;11_ widening_15;11_ widening_18;11_ widening_21;12_ densening_6;12_ densening_9;12_ densening_12;12_ densening_15;12_ densening_18;12_ densening_21;12_ direct_6;12_ direct_9;12_ direct_12;12_ direct_15;12_ direct_18;12_ direct_21;12_ widening_6;12_ widening_9;12_ widening_12;12_ widening_15;12_ widening_18;12_ widening_21;13_ densening_6;13_ densening_9;13_ densening_12;13_ densening_15;13_ densening_18;13_ densening_21;13_ direct_6;13_ direct_9;13_ direct_12;13_ direct_15;13_ direct_18;13_ direct_21;13_ widening_6;13_ widening_9;13_ widening_12;13_ widening_15;13_ widening_18;13_ widening_21;14_ densening_6;14_ densening_9;14_ densening_12;14_ densening_15;14_ densening_18;14_ densening_21;14_ direct_6;14_ direct_9;14_ direct_12;14_ direct_15;14_ direct_18;14_ direct_21;14_ widening_6;14_ widening_9;14_ widening_12;14_ widening_15;14_ widening_18;14_ widening_21;15_ densening_6;15_ densening_9;15_ densening_12;15_ densening_15;15_ densening_18;15_ densening_21;15_ direct_6;15_ direct_9;15_ direct_12;15_ direct_15;15_ direct_18;15_ direct_21;15_ widening_6;15_ widening_9;15_ widening_12;15_ widening_15;15_ widening_18;15_ widening_21
0;1;5.253;6.209;7.046;8.298;6.77;7.254;7.368;6.978;6.645;8.117;6.736;8.554;7.304;5.463;4.764;4.154;6.979;9.215;6.353;8.446;6.038;5.385;9.442;5.869;4.414;6.029;8.612;7.91;8.166;7.948;5.462;4.406;6.182;8.275;9.734;7.038;6.421;4.465;8.894;9.89;12.797;11.696;7.155;13.55;8.256;7.202;7.459;6.722;4.413;3.762;8.897;5.072;7.205;7.556;4.731;4.078;8.365;7.696;7.288;7.594;3.627;11.628;5.049;7.145;5.696;13.702;3.459;5.447;5.731;5.669;8.776;7.784;6.299;5.351;7.669;6.212;10.787;8.006;5.516;9.832;4.624;7.956;9.571;7.631;4.476;6.039;6.906;7.805;6.431;6.828;7.321;7.983;6.173;7.119;7.846;7.815;3.69;9.463;5.974;7.646;7.173;7.07;5.919;4.638;5.983;7.281;8.964;6.145;6.604;5.169;5.553;7.085;8.056;8.33;6.075;7.849;22.207;8.418;6.003;5.58;4.997;7.699;8.21;8.192;8.986;8.843;3.822;6.054;6.749;6.838;5.041;7.839;4.953;6.402;6.314;8.534;7.651;8.794;3.39;6.966;4.366;19.87;6.714;8.514;5.422;5.168;7.621;7.176;5.31;9.518;5.39;4.394;5.756;8.095;7.27;9.885;5.482;5.124;6.611;7.316;6.046;10.311;4.49;5.747;4.713;9.224;10.186;4.548;3.063;8.062;7.487;6.751;8.081;59.043;4.347;6.478;8.222;15.782;6.245;7.91;6.754;5.377;8.598;11.677;5.427;3.921;7.829;7.138;5.866;8.66;7.173;7.709;3.602;7.206;6.111;8.751;20.821;6.559;6.217;5.41;6.954;6.374;6.525;9.699;4.869;6.315;4.7;9.016;5.924;12.123;4.602;6.716;9.225;9.302;9.259;11.649;3.749;7.588;4.321;5.28;8.009;9.345;6.035;8.434;6.486;8.358;9.593;7.034;3.05;6.829;5.351;4.794;8.999;7.525;6.386;3.527;5.178;5.819;5.747;7.335;5.586;6.845;6.352;5.87;5.231;7.592;7.054;28.817;6.023;5.545;13.116;5.74;2.723;4.654;7.74;8.443;7.769;8.583;6.541;6.568;7.861;6.198;7.974;7.777;5.917;7.507;5.973;7.479;9.905;7.309
1;2;5.871;12.11;12.799;9.337;9.22;5.272;6.061;9.415;8.308;9.431;9.025;12.117;11.318;6.393;7.541;9.36;9.381;8.546;7.288;9.987;6.458;5.908;7.459;10.107;6.467;7.734;11.324;8.701;6.896;8.875;4.659;4.28;6.649;4.975;13.269;10.464;6.778;6.047;10.015;7.231;9.968;9.617;4.361;8.832;6.402;6.011;14.327;10.198;3.352;5.475;7.706;8.288;7.421;9.72;6.646;9.92;9.299;9.705;8.997;9.34;5.929;13.831;10.079;7.499;8.035;10.456;4.937;10.029;8.93;8.169;12.74;12.073;3.73;7.689;7.131;13.444;8.081;9.774;5.232;6.306;6.928;8.043;7.758;7.086;6.059;4.977;9.472;9.96;7.666;8.795;7.465;7.717;5.771;8.55;49.157;7.504;5.802;6.324;7.188;6.336;34.328;10.341;5.871;6.986;7.794;6.654;7.864;27.141;5.624;6.568;7.323;7.808;6.973;8.305;6.409;12.049;9.345;7.655;9.237;9.659;4.734;6.499;7.807;9.086;7.999;7.221;5.318;4.249;12.098;7.3;8.85;18.338;5.268;6.687;8.521;10.552;5.078;9.392;6.422;7.24;50.466;5.309;9.051;8.696;5.097;6.492;7.665;7.199;18.432;6.171;7.917;7.999;7.162;8.167;11.01;11.155;6.095;5.245;7.507;6.215;7.814;10.137;5.232;6.238;7.83;5.903;8.928;8.705;4.74;7.366;7.271;9.983;19.973;10.81;12.408;12.486;8.123;29.889;6.849;7.927;5.569;6.077;6.804;8.939;11.854;8.822;6.798;8.557;13.856;5.555;7.955;9.059;4.769;6.086;8.27;8.801;7.219;9.389;6.134;7.045;7.13;8.688;7.873;56.43;4.492;5.903;6.138;10.351;8.146;9.468;8.972;6.67;7.831;11.884;13.936;9.803;6.313;6.58;5.858;41.144;7.624;10.29;6.004;7.228;19.547;7.372;8.473;10.763;5.063;6.781;11.542;5.765;7.995;12.684;7.642;16.261;7.798;11.491;8.247;7.572;5.915;10.516;31.57;6.249;8.317;11.038;5.737;12.38;8.215;8.692;13.828;7.037;7.044;17.634;7.045;19.082;11.333;13.49;5.706;7.679;9.385;9.962;10.491;14.228;7.628;7.535;6.333;7.432;49.389;20.144
2;3;9.699;7.336;9.165;5.902;17.872;5.793;28.75;4.845;6.833;6.752;18.879;8.905;5.35;7.105;7.83;12.956;4.097;6.783;6.998;3.168;6.052;7.087;26.498;4.201;5.876;6.208;5.725;3.033;38.453;10.719;1.974;6.254;4.159;18.389;5.999;9.585;4.525;5.586;7.644;10.661;10.316;5.508;5.77;5.018;6.791;9.404;10.409;11.929;2.927;2.707;9.792;8.424;6.702;16.393;4.351;9.117;4.159;7.899;6.471;6.466;4.907;5.167;5.518;9.768;10.52;12.801;4.728;4.624;5.499;4.723;40.661;11.622;3.217;5.016;6.802;8.84;7.585;5.979;8.404;3.6;7.026;5.728;7.809;4.438;10.132;4.432;5.394;6.35;14.382;18.359;4.92;9.792;5.166;9.581;7.922;10.416;5.172;7.366;10.328;6.891;9.82;12.908;2.876;4.847;6.182;7.051;4.913;8.139;5.376;6.763;3.928;5.375;8.663;8.655;3.753;15.059;7.0;14.366;15.007;8.255;5.557;6.829;16.693;6.705;9.588;8.7;4.176;2.573;8.804;6.943;7.361;30.96;4.741;6.72;6.863;9.441;44.45;36.55;6.16;10.74;6.415;8.461;6.496;7.159;5.405;8.579;2.776;14.427;42.785;14.918;2.304;3.367;5.391;7.011;8.184;7.457;4.47;7.198;14.082;24.174;6.419;13.024;6.17;7.946;4.011;16.845;11.258;13.598;3.464;3.448;11.918;8.472;18.98;12.655;3.009;5.594;6.936;9.554;7.582;12.233;6.886;5.359;11.221;19.25;10.38;31.895;5.556;7.222;7.474;5.364;9.184;26.468;5.857;6.495;5.407;6.404;6.167;22.402;4.396;9.03;6.848;11.333;6.735;21.964;3.569;5.817;8.859;5.077;10.081;16.64;6.6;13.719;11.043;20.058;6.031;12.802;3.709;8.243;6.839;9.078;11.506;13.989;1.539;6.181;9.405;13.623;5.609;7.212;3.902;5.757;5.505;7.632;7.376;7.618;5.39;4.842;8.489;13.346;6.84;8.384;3.282;12.96;4.318;10.63;6.784;14.011;5.476;5.148;5.622;7.727;7.795;8.033;3.976;8.023;4.719;11.873;26.876;11.878;5.0;3.079;14.458;15.887;17.365;6.925;3.004;5.805;10.616;7.682;7.147;6.951
3;4;7.995;19.506;6.351;13.717;25.701;16.241;5.754;8.051;8.368;16.675;10.118;10.023;6.337;5.497;13.67;10.427;9.653;6.708;5.962;10.38;4.508;8.179;7.507;32.832;3.156;7.108;8.762;6.872;11.567;13.7;10.494;8.373;9.208;13.75;6.077;14.658;5.397;4.952;16.934;15.221;38.745;18.46;3.458;10.966;9.457;8.218;15.804;24.95;3.353;28.11;10.34;16.173;15.352;20.053;5.071;3.536;9.875;46.748;22.948;27.586;6.621;8.082;9.195;18.657;14.987;15.271;4.533;7.333;8.268;9.897;12.386;29.824;4.177;9.191;9.68;23.336;34.145;7.391;6.053;5.402;7.814;15.161;24.436;15.941;6.773;6.186;26.267;5.878;24.295;10.86;7.074;8.106;6.225;9.278;9.161;16.384;6.415;7.409;9.638;7.646;28.619;11.048;7.925;5.051;7.313;33.876;12.245;10.751;5.167;8.589;7.407;4.173;8.846;12.539;3.861;4.279;6.449;11.317;25.378;23.357;5.667;6.024;6.875;12.742;7.143;21.749;7.83;8.162;4.264;11.167;28.589;17.719;5.833;7.894;16.97;13.771;8.993;13.252;3.069;4.904;23.617;12.059;14.333;69.053;3.765;4.698;12.034;20.669;7.264;12.067;10.363;7.117;10.535;18.107;8.813;17.171;8.937;4.687;4.107;8.758;23.114;18.552;4.049;3.428;16.139;11.552;18.21;7.931;4.723;5.068;9.031;13.256;43.531;26.004;3.428;29.096;13.399;23.516;22.536;11.423;7.943;10.422;12.24;7.594;35.128;21.805;4.91;9.381;8.818;8.316;19.565;34.513;10.267;8.788;8.513;5.644;5.984;13.514;5.377;9.209;9.903;11.584;11.068;21.768;7.697;6.473;6.822;14.839;12.272;21.195;5.041;9.201;7.769;14.884;16.884;21.167;4.651;12.4;3.845;41.334;42.256;7.529;3.275;9.754;5.345;9.476;45.33;24.059;12.335;8.226;8.143;39.018;7.55;10.315;8.655;9.08;8.265;10.376;6.567;15.735;7.632;5.292;21.88;4.939;25.457;21.294;3.344;18.263;13.627;13.337;10.789;16.892;5.35;7.412;3.638;16.213;8.106;20.941;9.693;3.529;8.357;15.585;7.935;8.443;6.069;7.898;10.611;10.822;8.707;14.274
4;5;4.402;6.206;7.662;8.144;6.27;6.16;3.886;5.193;8.626;11.034;9.2;10.193;4.582;5.696;7.886;6.404;7.191;9.977;9.037;7.215;4.87;5.645;9.384;5.419;5.025;4.683;9.272;6.631;9.42;5.69;5.884;7.163;5.362;11.469;9.284;7.272;5.903;8.685;9.204;8.43;7.627;13.425;3.655;5.388;5.59;6.758;6.567;9.094;6.509;5.568;10.565;4.405;9.503;9.189;6.469;4.932;7.936;12.16;8.235;6.457;4.906;5.004;7.488;6.876;13.095;8.304;4.994;4.508;3.738;10.113;7.4;5.684;4.088;7.558;6.584;16.308;10.972;8.224;5.008;7.325;7.007;7.599;6.424;7.38;6.984;4.197;7.233;6.677;9.763;6.321;5.38;7.128;7.096;5.897;10.054;9.788;4.986;5.443;7.548;10.674;8.17;8.896;4.023;3.7;9.213;6.84;6.623;11.92;12.417;6.687;6.424;5.518;8.925;9.788;6.178;5.174;9.857;5.249;6.183;17.441;4.801;5.991;5.082;6.71;11.022;4.327;4.701;6.018;9.042;5.184;8.354;9.827;5.075;7.208;6.882;7.89;7.324;9.491;5.151;6.008;6.763;7.693;9.222;9.863;5.078;6.294;7.767;6.899;6.972;7.891;4.764;9.558;8.348;5.948;8.603;8.485;3.773;7.916;8.36;6.21;8.946;7.938;7.618;4.725;6.741;9.535;7.385;6.452;4.487;7.97;6.908;7.372;6.643;5.697;9.615;3.935;9.428;7.321;10.043;7.806;5.272;5.163;12.283;11.299;9.342;6.583;4.274;5.239;5.879;10.894;13.296;9.215;4.998;7.654;5.35;7.905;7.543;8.097;6.31;8.134;10.034;7.08;9.26;8.942;5.248;4.347;7.148;6.731;9.03;7.87;5.376;5.236;7.153;8.224;5.795;11.374;5.096;6.128;9.482;8.439;13.718;10.981;3.676;5.746;4.538;6.281;7.687;10.723;3.143;3.842;5.868;12.113;8.941;7.317;5.14;2.484;6.909;5.808;12.334;7.319;5.157;5.086;6.607;10.651;11.677;5.882;5.371;8.625;9.667;10.285;8.319;10.474;5.496;5.717;8.902;14.194;5.346;15.253;8.408;9.947;5.26;6.992;7.53;8.028;5.812;6.828;6.768;6.574;10.862;11.253
5;6;6.433;7.937;15.8;13.04;7.659;9.423;4.526;6.554;8.614;9.848;19.986;5.363;5.436;278.778;6.592;10.143;9.698;36.157;6.811;33.604;9.583;5.833;8.21;14.37;7.835;3.764;9.095;13.32;7.045;12.865;5.012;6.445;7.222;12.984;7.421;8.72;15.353;6.698;7.532;10.856;9.711;8.84;6.805;5.054;7.778;11.542;11.819;10.128;9.022;5.848;6.691;6.032;9.114;6.238;6.103;10.36;10.783;14.77;5.475;10.684;6.924;8.691;6.446;10.41;13.143;17.349;5.615;5.753;9.597;11.986;5.985;7.832;5.758;5.146;9.884;7.762;13.331;13.08;5.143;8.0;4.978;5.074;10.57;7.617;8.153;7.182;7.779;11.35;6.847;9.091;4.456;5.328;9.428;7.805;7.721;12.178;6.648;5.254;6.105;10.336;7.595;9.155;6.49;13.206;5.63;9.98;33.843;10.061;9.153;9.507;5.86;19.437;7.568;9.175;8.057;11.763;9.526;7.958;4.215;20.659;5.59;6.569;6.802;6.942;12.773;7.242;3.75;5.777;9.562;8.902;3.374;12.062;5.541;7.048;7.326;5.41;9.33;7.316;4.989;7.194;4.904;7.268;7.429;7.181;8.518;6.385;11.795;10.84;10.109;10.257;5.141;6.619;6.459;8.998;5.438;6.455;6.167;7.98;9.826;7.272;6.89;17.709;7.264;8.49;6.844;21.605;9.371;6.355;7.385;5.54;7.978;5.171;11.386;18.568;6.543;18.147;10.308;6.906;11.092;24.238;7.992;3.963;8.57;5.803;7.442;7.034;7.361;5.644;6.105;6.025;6.982;6.779;5.36;14.131;12.498;6.084;8.164;8.753;6.14;9.287;6.821;8.457;8.334;5.202;3.219;8.034;17.356;6.549;6.019;34.884;9.808;8.386;14.072;8.85;9.433;20.575;7.549;6.435;7.041;12.852;10.091;8.165;5.634;5.941;7.514;3.839;8.193;8.913;6.557;5.175;4.435;6.225;10.571;7.627;6.09;6.3;8.724;6.452;5.562;11.502;4.098;4.108;8.783;10.405;7.512;8.865;5.644;8.446;17.136;8.206;10.14;7.302;10.072;7.595;4.061;11.687;6.002;9.624;6.053;8.395;6.97;14.024;6.89;6.759;4.656;14.171;10.047;7.437;6.469;7.052
6;7;7.534;7.483;8.514;8.631;8.761;8.89;6.137;42.485;10.043;14.993;8.981;7.695;6.141;5.561;9.116;9.773;8.505;8.747;6.447;5.369;8.029;5.8;5.069;15.193;3.941;6.11;9.468;6.714;6.613;6.242;4.296;7.246;8.002;7.601;10.153;10.666;7.166;5.758;6.737;11.321;6.036;7.38;5.367;4.675;5.597;5.486;11.655;16.187;4.109;8.834;6.754;8.672;9.309;11.768;4.502;8.347;11.348;11.401;7.725;4.851;2.671;11.66;16.114;5.853;5.05;10.919;6.539;6.738;7.422;8.072;9.169;8.406;51.131;8.061;5.658;8.538;8.964;11.054;8.003;5.422;8.277;11.341;10.544;12.608;5.952;8.064;7.911;6.627;6.874;7.223;6.172;6.337;8.917;6.072;8.889;8.144;5.695;6.868;3.942;11.168;10.295;5.768;4.555;17.441;33.531;10.951;7.355;10.011;6.613;6.392;9.247;6.748;6.168;11.278;3.887;6.459;10.167;7.765;13.177;7.515;5.579;8.392;6.314;10.373;9.292;11.139;7.207;7.76;8.62;7.79;8.983;9.262;4.587;10.014;7.15;9.83;12.094;10.618;5.866;4.489;7.874;7.035;16.555;9.797;6.599;3.415;4.388;12.854;9.186;4.853;6.129;7.179;10.632;6.51;5.071;14.804;8.846;6.293;8.135;10.078;11.003;26.779;6.715;9.352;6.535;4.773;19.221;8.021;6.857;8.253;10.764;13.636;5.52;13.356;5.204;9.271;9.967;14.675;9.431;7.077;6.703;6.534;3.39;9.488;6.869;11.485;6.572;7.921;6.684;11.584;14.648;12.671;4.457;5.944;8.427;10.994;7.637;10.778;6.513;7.457;6.784;6.268;12.716;18.183;5.833;6.143;10.001;12.69;9.051;8.089;6.179;5.39;4.787;8.872;10.011;15.879;5.769;7.252;5.812;20.338;8.412;4.22;5.911;10.843;7.572;5.992;9.613;9.91;6.821;8.805;46.325;10.062;8.598;9.336;76.612;5.813;9.074;7.572;7.763;11.319;8.199;11.448;8.255;8.76;6.634;13.884;7.205;6.713;11.494;11.718;6.519;14.129;6.73;6.762;7.583;9.004;8.336;8.401;5.905;6.201;6.693;2.896;8.886;15.833;6.476;11.715;6.169;11.183;9.339;8.083
7;8;9.659;10.424;21.631;12.134;14.253;11.642;7.827;6.578;6.528;41.208;12.648;340.853;94.393;14.73;29.434;13.018;20.653;11.508;7.071;13.888;11.375;11.963;11.035;6.845;5.327;5.557;6.183;20.026;9.817;10.261;5.546;21.746;10.74;9.388;6.93;20.088;8.704;6.125;12.191;11.92;6.677;12.31;4.253;5.893;10.001;8.796;5.084;13.402;9.991;5.774;7.868;9.002;8.439;13.545;6.517;12.252;7.833;15.152;32.703;9.08;4.055;7.94;5.883;5.033;8.25;8.595;6.808;11.351;8.685;7.621;14.248;13.287;7.365;10.984;10.573;12.257;9.9;18.385;7.936;6.698;6.681;9.026;7.451;7.91;3.989;10.414;7.094;10.18;17.021;24.094;9.11;36.187;13.468;11.201;15.217;20.817;8.305;14.175;6.88;14.206;6.62;8.68;5.315;7.483;10.326;39.884;7.744;21.607;8.096;7.904;8.736;14.066;9.652;19.666;5.82;8.432;6.779;10.644;7.674;10.979;4.336;4.449;4.935;6.625;7.67;13.037;9.473;8.297;6.069;9.183;1.727;9.718;3.847;8.639;7.295;6.909;7.686;6.069;6.986;9.067;14.473;7.078;5.587;13.226;10.186;15.536;7.692;5.816;9.653;12.754;3.353;7.448;7.94;11.0;9.014;7.137;5.333;5.624;14.716;10.742;10.366;8.961;6.083;10.108;8.231;6.674;13.053;9.017;10.204;6.091;5.823;12.396;7.109;9.275;6.838;6.797;9.365;10.052;18.636;8.382;23.177;9.737;7.747;13.501;9.118;7.487;5.739;12.565;10.078;19.006;38.573;13.474;11.476;8.664;6.528;9.851;9.457;63.924;7.153;13.349;7.273;14.813;8.79;23.354;8.232;3.556;7.045;23.709;20.237;17.522;6.203;4.072;13.868;8.596;12.89;9.301;4.444;7.797;7.73;6.778;5.918;6.104;5.261;6.564;9.527;7.764;10.646;11.691;4.461;8.635;4.827;12.289;11.319;9.82;6.163;11.011;9.094;5.051;14.057;12.153;5.641;8.239;5.646;10.749;11.619;18.983;9.018;7.444;13.253;8.215;8.192;9.5;6.431;7.988;6.974;10.822;10.325;11.198;4.669;9.305;7.727;12.983;12.741;10.135;3.762;6.942;8.73;9.365;9.759;25.176
8;9;7.597;25.974;8.393;10.918;6.185;17.886;14.081;4.011;9.471;8.882;9.038;8.83;7.427;7.997;10.269;6.418;10.564;20.292;7.845;12.774;8.198;4.851;10.125;10.166;5.305;5.672;6.301;32.952;9.405;9.332;6.698;8.331;18.269;37.506;7.432;16.993;6.871;9.609;4.991;8.128;10.545;6.121;4.285;6.249;8.616;6.072;8.618;9.106;5.028;4.678;13.759;7.243;14.503;6.969;22.227;4.778;7.063;42.036;20.344;9.688;5.305;6.321;6.079;7.861;9.425;6.067;6.574;2.6;7.506;8.901;33.376;12.469;11.189;6.855;7.767;11.277;8.459;8.479;7.409;5.681;8.231;23.074;14.452;11.016;7.186;4.706;8.196;7.162;6.945;8.636;7.994;8.617;7.434;6.697;9.566;8.311;6.15;7.321;8.278;10.684;7.044;11.326;9.698;7.202;7.991;10.423;5.831;8.062;7.207;9.485;8.23;19.827;10.734;8.576;7.414;6.575;14.542;13.888;13.327;10.038;7.406;9.116;5.854;8.896;39.379;9.256;5.932;5.398;11.783;11.519;7.99;14.413;6.484;5.734;7.747;6.488;6.066;8.54;6.9;6.349;9.511;8.102;7.597;17.856;6.519;17.41;9.932;11.1;25.46;21.78;4.684;7.193;8.689;10.131;8.901;14.221;6.527;8.075;7.666;13.588;13.947;19.249;6.118;7.795;6.231;10.864;6.346;6.29;6.935;5.699;6.759;7.933;9.979;7.016;6.551;8.719;6.102;8.944;8.013;21.875;5.44;9.699;8.346;20.995;5.734;9.293;6.234;5.664;8.42;5.971;10.789;8.01;5.945;7.627;19.923;9.597;8.077;8.753;10.462;12.781;5.77;7.384;9.542;10.372;4.508;6.859;6.264;14.851;12.345;8.061;6.315;9.92;7.582;9.708;10.109;7.925;7.173;5.035;9.87;8.894;18.292;10.931;6.032;6.604;5.715;6.997;9.209;7.106;6.608;7.698;4.132;18.312;19.231;12.389;5.7;14.998;10.45;12.205;13.859;9.77;5.634;5.961;8.648;6.958;7.83;7.773;6.334;10.101;8.543;8.835;8.323;8.37;9.28;7.816;9.068;6.365;9.536;7.032;6.443;12.646;9.038;6.363;8.001;7.109;5.284;6.593;7.866;11.976;9.602;5.451
9;10;2.562;4.503;4.673;7.278;5.45;9.862;2.435;264.491;3.84;10.244;4.607;6.64;7.629;3.634;3.228;3.158;33.425;138.45;7.174;3.466;13.875;9.491;4.54;19.709;2.804;5.792;6.891;4.185;4.936;6.833;5.319;3.574;3.67;3.74;4.019;11.324;5.158;5.998;9.253;9.525;5.984;24.008;3.486;6.083;5.061;6.246;7.191;5.633;3.964;3.315;11.625;4.443;15.523;6.348;4.797;5.13;11.502;20.049;15.285;5.961;5.149;3.278;7.564;4.224;5.661;6.645;3.684;4.01;5.176;4.237;4.338;4.078;4.587;4.778;6.99;6.846;13.943;9.637;3.038;5.451;4.355;4.481;9.14;10.041;6.663;4.867;5.544;7.815;3.154;8.253;5.891;13.466;5.088;9.304;11.074;11.674;4.061;3.567;3.638;5.805;18.407;3.688;4.851;3.51;10.658;3.97;2.986;9.053;2.675;5.951;2.959;8.281;9.983;6.823;6.838;10.328;9.39;6.131;16.6;13.315;10.343;16.109;10.933;9.509;14.639;7.663;3.536;7.582;2.762;13.378;7.84;10.661;4.173;6.796;3.238;4.39;11.655;10.528;3.576;4.876;5.17;6.181;2.398;6.375;6.421;4.126;9.14;7.309;4.593;15.191;6.327;5.899;6.287;7.357;6.432;16.975;5.485;4.179;15.577;5.683;3.425;7.97;5.53;5.69;4.332;12.646;10.219;5.748;4.616;6.89;6.173;12.222;6.596;22.325;1.689;9.129;4.833;15.948;5.241;9.358;2.502;5.732;5.287;7.136;12.621;33.374;4.497;6.032;6.167;5.272;12.373;11.635;2.701;3.949;6.587;4.885;28.849;5.993;9.789;3.358;9.275;5.622;10.363;6.136;4.909;6.351;8.149;4.861;8.619;19.527;5.091;3.326;18.888;7.758;4.526;4.881;2.597;4.711;14.053;5.918;11.465;9.319;5.026;3.56;4.012;5.045;4.877;16.399;26.38;6.366;6.952;5.64;9.312;9.559;4.413;7.26;9.762;8.15;6.419;10.929;5.288;1.985;6.221;3.652;6.617;8.23;1.451;5.355;5.592;8.473;7.03;3.176;5.606;4.024;5.103;4.27;3.277;13.874;7.197;5.258;3.719;7.584;43.499;7.689;5.408;5.965;4.791;6.738;6.791;7.115
